payment_id,invoice_id,payment_date,payment_method,payment_amount,payment_status
PAY0000117,INV000466,10-02-2025,ACH,543130.49,FAILED
PAY0000118,INV003185,25-08-2025,CHEQUE,35042.21,
PAY0000119,INV000745,11-03-2025,CASH,279983.45,SUCCESS
PAY0000120,INV000800,03-01-2026,WIRE,353004.82,SUCCESS
PAY0000121,INV002285,11-02-2025,WIRE,262733.07,
PAY0000122,INV000388,29-05-2025,CHEQUE,362694.18,SUCCESS
PAY0000123,INV002019,10-10-2024,WIRE,359791.06,SUCCESS
PAY0000124,INV001130,05-08-2025,CHEQUE,65608.42,SUCCESS
PAY0000125,INV001048,05-10-2024,CASH,422261.77,
PAY0000126,INV003251,24-06-2024,WIRE,472384.77,FAILED
PAY0000127,INV003080,12-01-2025,CASH,37592.38,
PAY0000128,INV001431,20-09-2025,ACH,476057.99,FAILED
PAY0000129,INV002210,09-03-2024,ACH,202925.87,
PAY0000130,INV000268,14-06-2024,ACH,280009.74,SUCCESS
PAY0000131,INV003935,29-01-2025,CASH,446771.63,FAILED
PAY0000132,INV003784,12-10-2024,CASH,368079.8,
PAY0000133,INV003045,11-07-2024,WIRE,211731.6,SUCCESS
PAY0000134,INV002797,07-09-2024,ACH,564724.06,
PAY0000135,INV002954,31-05-2025,CHEQUE,285360.66,SUCCESS
PAY0000136,INV003298,02-05-2024,WIRE,536126.77,
PAY0000137,INV000792,28-11-2025,CHEQUE,438444.53,SUCCESS
PAY0000138,INV003764,30-07-2025,CASH,557960.9,FAILED
PAY0000139,INV003456,02-09-2025,WIRE,591318.18,
PAY0000140,INV002743,21-02-2024,CHEQUE,315998.49,FAILED
PAY0000141,INV002073,29-08-2025,WIRE,59314.47,FAILED
PAY0000142,INV001435,20-12-2025,CASH,284570.21,FAILED
PAY0000143,INV000096,24-01-2025,CASH,506018.4,FAILED
PAY0000144,INV001935,06-07-2025,CASH,598192.67,FAILED
PAY0000145,INV003725,18-09-2025,ACH,591840.9,FAILED
PAY0000146,INV000293,22-07-2024,WIRE,510392.23,
PAY0000147,INV001598,09-02-2024,WIRE,567252.11,FAILED
PAY0000148,INV000707,19-01-2025,WIRE,149182.26,FAILED
PAY0000149,INV000847,23-10-2024,CHEQUE,139648.59,FAILED
PAY0000150,INV002167,11-06-2025,ACH,515478.9,SUCCESS
PAY0000151,INV001319,29-01-2025,CASH,321353.77,SUCCESS
PAY0000152,INV002954,04-09-2025,CASH,558566.57,
PAY0000153,INV003492,23-10-2024,CASH,533864.94,FAILED
PAY0000154,INV002478,05-12-2024,WIRE,36320.11,
PAY0000155,INV001301,27-11-2024,ACH,155629.39,FAILED
PAY0000156,INV001341,02-09-2024,CHEQUE,35522.86,FAILED
PAY0000157,INV001219,09-10-2025,WIRE,154369.89,FAILED
PAY0000158,INV000971,08-05-2025,CHEQUE,167705.33,
PAY0000159,INV002467,17-06-2024,ACH,239331.59,SUCCESS
PAY0000160,INV001697,13-01-2025,ACH,357718.11,FAILED
PAY0000161,INV000393,17-11-2025,WIRE,428461.35,SUCCESS
PAY0000162,INV002189,09-02-2025,ACH,112355.59,
PAY0000163,INV003578,30-05-2024,CHEQUE,569528.09,FAILED
PAY0000164,INV003752,17-08-2025,CHEQUE,540963.96,
PAY0000165,INV003035,16-05-2025,ACH,276752.62,FAILED
PAY0000166,INV002778,16-06-2025,CASH,52496.71,FAILED
PAY0000167,INV002185,11-01-2025,CASH,69544.41,FAILED
PAY0000168,INV000096,13-06-2024,WIRE,47616.83,SUCCESS
PAY0000169,INV000478,21-04-2024,ACH,493030.72,
PAY0000170,INV002563,29-07-2025,CASH,300435.91,SUCCESS
PAY0000171,INV003281,03-06-2025,CASH,394721.53,FAILED
PAY0000172,INV002728,08-10-2024,ACH,342545.66,SUCCESS
PAY0000173,INV000240,10-04-2025,WIRE,553511.29,FAILED
PAY0000174,INV003899,17-05-2024,CASH,83605.01,FAILED
PAY0000175,INV002271,25-01-2025,CHEQUE,28234.57,SUCCESS
PAY0000176,INV002483,15-08-2024,WIRE,513570.12,SUCCESS
PAY0000177,INV002595,16-01-2025,CHEQUE,14596.56,FAILED
PAY0000178,INV001673,04-11-2025,CASH,399658.46,SUCCESS
PAY0000179,INV001370,10-06-2024,WIRE,249182.48,
PAY0000180,INV000108,26-02-2024,ACH,488504.69,
PAY0000181,INV001515,06-06-2024,ACH,516852.49,
PAY0000182,INV003147,26-06-2025,CASH,117763.48,
PAY0000183,INV002289,29-08-2025,CHEQUE,14359.04,
PAY0000184,INV000046,28-08-2024,CHEQUE,530017.15,
PAY0000185,INV000110,30-04-2025,ACH,599845.94,SUCCESS
PAY0000186,INV001681,13-06-2025,WIRE,296986.3,SUCCESS
PAY0000187,INV000782,02-10-2024,CASH,341620.7,FAILED
PAY0000188,INV003119,12-12-2025,ACH,18334.59,SUCCESS
PAY0000189,INV001347,23-02-2024,ACH,485734.51,SUCCESS
PAY0000190,INV003114,19-11-2025,WIRE,68652.17,
PAY0000191,INV000657,06-08-2025,CHEQUE,73713.87,
PAY0000192,INV001752,05-12-2024,CHEQUE,268310.05,FAILED
PAY0000193,INV002164,16-05-2025,CHEQUE,444253.04,FAILED
PAY0000194,INV000188,15-06-2024,ACH,121698.36,SUCCESS
PAY0000195,INV003196,24-11-2025,CASH,582114.04,
PAY0000196,INV001204,18-05-2024,CHEQUE,503128.88,SUCCESS
PAY0000197,INV003503,27-11-2025,CHEQUE,547661.98,FAILED
PAY0000198,INV000213,27-06-2024,ACH,492369.64,SUCCESS
PAY0000199,INV001325,01-04-2025,WIRE,5412.3,FAILED
PAY0000200,INV002273,28-11-2024,ACH,534547.2,SUCCESS
PAY0000201,INV001787,28-01-2024,ACH,495741.26,SUCCESS
PAY0000202,INV000587,20-05-2024,WIRE,85819.62,SUCCESS
PAY0000203,INV003729,29-09-2024,CHEQUE,484073.61,FAILED
PAY0000204,INV003836,08-07-2025,ACH,27853.05,
PAY0000205,INV003780,16-12-2025,CASH,410836.02,
PAY0000206,INV001495,07-09-2024,CASH,187134.88,FAILED
PAY0000207,INV000426,08-08-2025,CASH,530955.5,FAILED
PAY0000208,INV000577,24-09-2025,CHEQUE,8444.1,SUCCESS
PAY0000209,INV001787,12-06-2025,CASH,146059.5,FAILED
PAY0000210,INV003843,22-09-2025,CASH,481428.61,
PAY0000211,INV002901,29-10-2024,CHEQUE,353253.59,SUCCESS
PAY0000212,INV003489,10-07-2024,ACH,70785.75,FAILED
PAY0000213,INV000444,17-05-2024,WIRE,3801.06,
PAY0000214,INV002285,31-07-2024,WIRE,483696.98,
PAY0000215,INV000811,07-12-2024,WIRE,597570.54,FAILED
PAY0000216,INV003465,06-11-2024,CASH,41631.36,
PAY0000217,INV000241,17-08-2024,ACH,415161.1,FAILED
PAY0000218,INV001742,11-12-2025,WIRE,289852.85,FAILED
PAY0000219,INV001477,24-01-2025,WIRE,315019.97,
PAY0000220,INV003631,16-02-2024,ACH,481881.16,FAILED
PAY0000221,INV000089,06-07-2024,CASH,39685.74,
PAY0000222,INV001846,21-12-2024,WIRE,78484.94,FAILED
PAY0000223,INV001398,21-05-2025,WIRE,535124.7,FAILED
PAY0000224,INV002216,05-02-2024,CHEQUE,343786.02,
PAY0000225,INV000478,28-02-2024,CASH,573954.52,SUCCESS
PAY0000226,INV003425,17-05-2024,CASH,158889.58,SUCCESS
PAY0000227,INV003212,04-08-2025,ACH,161100.18,
PAY0000228,INV001120,30-09-2024,CHEQUE,123482.96,SUCCESS
PAY0000229,INV000750,10-10-2024,CHEQUE,412365.51,FAILED
PAY0000230,INV002432,08-05-2024,WIRE,32936.13,FAILED
PAY0000231,INV001854,04-12-2024,WIRE,292595.86,FAILED
PAY0000232,INV001548,16-11-2025,ACH,187381.81,
PAY0000233,INV000005,11-06-2025,ACH,496712.02,
PAY0000234,INV000281,04-11-2025,CASH,456201.02,SUCCESS
PAY0000235,INV000662,26-02-2024,WIRE,4733.8,
PAY0000236,INV000836,15-01-2026,CASH,196690.7,FAILED
PAY0000237,INV000956,14-09-2024,CASH,1008.19,SUCCESS
PAY0000238,INV000542,10-05-2024,CASH,487278.78,
PAY0000239,INV000733,01-04-2025,CASH,388549.63,SUCCESS
PAY0000240,INV001074,23-12-2024,CASH,243895.82,
PAY0000241,INV003193,20-07-2024,ACH,185486.47,
PAY0000242,INV002026,14-11-2025,CASH,385804.69,FAILED
PAY0000243,INV000179,24-11-2024,WIRE,132319.29,SUCCESS
PAY0000244,INV002924,21-01-2025,CASH,78111.49,FAILED
PAY0000245,INV000809,10-04-2024,WIRE,550823,FAILED
PAY0000246,INV003091,21-01-2026,CASH,62837.68,SUCCESS
PAY0000247,INV003163,10-04-2025,CASH,200698.28,SUCCESS
PAY0000248,INV003549,19-01-2026,CASH,69280.14,SUCCESS
PAY0000249,INV001649,29-12-2024,CHEQUE,244929.76,FAILED
PAY0000250,INV001464,15-11-2024,CASH,219071.65,FAILED
PAY0000251,INV000134,03-10-2024,CHEQUE,109355.73,
PAY0000252,INV003405,21-08-2025,WIRE,386366.46,SUCCESS
PAY0000253,INV003382,28-04-2024,CASH,159484.1,FAILED
PAY0000254,INV000793,18-05-2024,CASH,178939.17,FAILED
PAY0000255,INV002031,27-02-2024,WIRE,94911.21,SUCCESS
PAY0000256,INV002879,17-02-2024,ACH,178937.59,
PAY0000257,INV002986,23-01-2026,CASH,258984.73,FAILED
PAY0000258,INV000307,20-09-2024,CHEQUE,210408.21,
PAY0000259,INV003354,14-03-2024,ACH,71845.66,SUCCESS
PAY0000260,INV003924,29-01-2024,WIRE,416982.3,
PAY0000261,INV000341,21-03-2025,ACH,349175.11,FAILED
PAY0000262,INV002153,28-06-2024,ACH,481407.84,
PAY0000263,INV003631,13-04-2025,WIRE,100461.2,
PAY0000264,INV000655,23-01-2026,CASH,259245.54,
PAY0000265,INV000723,11-08-2024,ACH,464350.51,FAILED
PAY0000266,INV003318,29-01-2024,WIRE,461837.68,
PAY0000267,INV000315,05-11-2025,ACH,567974.72,SUCCESS
PAY0000268,INV003333,16-05-2025,ACH,112535.23,FAILED
PAY0000269,INV002128,06-05-2025,CHEQUE,491308.21,FAILED
PAY0000270,INV002478,05-07-2024,ACH,296242.06,SUCCESS
PAY0000271,INV001747,22-05-2025,CASH,288257.6,FAILED
PAY0000272,INV002009,20-09-2024,ACH,100695.31,FAILED
PAY0000273,INV001359,21-11-2024,CASH,67710.57,
PAY0000274,INV003719,01-11-2024,CHEQUE,571290.71,FAILED
PAY0000275,INV001112,03-07-2024,CASH,323577.1,FAILED
PAY0000276,INV000645,06-09-2024,CASH,411842.83,SUCCESS
PAY0000277,INV001068,13-09-2024,WIRE,551772.55,SUCCESS
PAY0000278,INV003686,03-12-2024,WIRE,286371.96,SUCCESS
PAY0000279,INV001991,30-04-2024,WIRE,230514.49,
PAY0000280,INV002417,05-11-2025,CHEQUE,162284.2,SUCCESS
PAY0000281,INV002647,23-05-2024,ACH,349121.62,SUCCESS
PAY0000282,INV003851,22-09-2025,ACH,162525.44,SUCCESS
PAY0000283,INV003699,07-03-2025,WIRE,185477.29,
PAY0000284,INV002792,08-12-2025,CHEQUE,581151.57,
PAY0000285,INV002909,14-11-2025,CHEQUE,594733.81,FAILED
PAY0000286,INV003891,11-09-2025,WIRE,98298.59,SUCCESS
PAY0000287,INV001807,13-10-2025,ACH,587622.12,SUCCESS
PAY0000288,INV001569,07-11-2025,WIRE,321601.24,FAILED
PAY0000289,INV003244,19-07-2024,ACH,161246.64,SUCCESS
PAY0000290,INV002535,01-10-2024,CASH,382774.42,FAILED
PAY0000291,INV002841,04-03-2025,CASH,580562.51,SUCCESS
PAY0000292,INV000521,18-08-2025,ACH,346097.96,
PAY0000293,INV001968,05-10-2024,CHEQUE,363947.63,SUCCESS
PAY0000294,INV001486,11-02-2024,CHEQUE,564767.6,
PAY0000295,INV003120,28-03-2024,CHEQUE,307153.28,FAILED
PAY0000296,INV001710,25-08-2024,CHEQUE,409265.86,SUCCESS
PAY0000297,INV000274,22-12-2024,WIRE,504461.81,
PAY0000298,INV001105,26-12-2024,CASH,270548.99,
PAY0000299,INV000074,29-12-2025,CASH,63350.64,FAILED
PAY0000300,INV002466,28-01-2024,ACH,323471.86,FAILED
PAY0000301,INV002009,06-10-2024,ACH,306219.59,SUCCESS
PAY0000302,INV003116,05-10-2024,CASH,146455.59,SUCCESS
PAY0000303,INV003811,12-01-2026,CASH,100006.25,
PAY0000304,INV001525,27-09-2024,WIRE,336168.13,SUCCESS
PAY0000305,INV001611,23-10-2024,WIRE,239192.77,FAILED
PAY0000306,INV000189,04-08-2024,CHEQUE,168428.73,FAILED
PAY0000307,INV002506,25-09-2024,CHEQUE,594097.33,
PAY0000308,INV000084,08-12-2024,WIRE,285100.55,SUCCESS
PAY0000309,INV003361,12-05-2025,CHEQUE,35798.8,SUCCESS
PAY0000310,INV000296,07-06-2024,CASH,219026.4,SUCCESS
PAY0000311,INV001200,02-06-2025,ACH,194664.53,
PAY0000312,INV000472,26-04-2024,CHEQUE,55265.26,FAILED
PAY0000313,INV003859,16-04-2025,CASH,13363.7,
PAY0000314,INV001478,19-02-2024,ACH,115331.99,
PAY0000315,INV002028,01-05-2024,ACH,396790.63,SUCCESS
PAY0000316,INV003444,27-09-2025,ACH,356116.54,SUCCESS
PAY0000317,INV003374,17-06-2024,ACH,300831.94,SUCCESS
PAY0000318,INV003006,23-04-2024,WIRE,393201.18,FAILED
PAY0000319,INV001139,04-01-2026,WIRE,32266.43,FAILED
PAY0000320,INV001033,21-01-2026,ACH,452006.92,FAILED
PAY0000321,INV000674,24-10-2025,CHEQUE,126394.83,SUCCESS
PAY0000322,INV002706,23-02-2024,CASH,230053.08,
PAY0000323,INV002586,27-04-2025,ACH,190995.5,FAILED
PAY0000324,INV003958,13-04-2025,ACH,355288.25,FAILED
PAY0000325,INV003708,11-08-2025,ACH,170721.47,FAILED
PAY0000326,INV000706,21-10-2024,ACH,93499.91,FAILED
PAY0000327,INV001174,23-03-2025,CASH,88690.47,SUCCESS
PAY0000328,INV002629,31-10-2024,ACH,130792.24,
PAY0000329,INV000967,15-07-2025,ACH,379286.76,SUCCESS
PAY0000330,INV003168,25-07-2025,ACH,107314.77,SUCCESS
PAY0000331,INV002698,24-08-2024,CASH,197520.69,SUCCESS
PAY0000332,INV002044,08-10-2024,CHEQUE,316129.87,FAILED
PAY0000333,INV002793,02-10-2024,CHEQUE,402547.68,SUCCESS
PAY0000334,INV003359,14-03-2024,CASH,130598.74,
PAY0000335,INV003329,30-08-2025,WIRE,438235.16,
PAY0000336,INV003079,01-04-2025,WIRE,430715.39,
PAY0000337,INV002907,25-04-2025,ACH,172677.09,
PAY0000338,INV000583,27-06-2025,CHEQUE,64771.09,SUCCESS
PAY0000339,INV002456,22-12-2024,CASH,588685.48,FAILED
PAY0000340,INV003321,03-07-2025,CASH,221671.74,SUCCESS
PAY0000341,INV002101,28-10-2024,ACH,88521.18,
PAY0000342,INV000903,21-09-2024,CASH,460768.17,
PAY0000343,INV002242,30-10-2025,WIRE,490405.32,
PAY0000344,INV000722,04-10-2025,ACH,243912.36,FAILED
PAY0000345,INV002186,19-04-2024,CHEQUE,498070.6,FAILED
PAY0000346,INV003848,30-05-2025,CHEQUE,205519.18,
PAY0000347,INV002434,03-01-2025,CHEQUE,169751.97,
PAY0000348,INV001254,11-07-2024,ACH,470826.34,
PAY0000349,INV003702,21-01-2026,CASH,552770.85,FAILED
PAY0000350,INV000602,18-03-2024,CASH,336854.63,SUCCESS
PAY0000351,INV003245,25-04-2025,ACH,121723.02,FAILED
PAY0000352,INV002184,22-04-2025,ACH,120886.94,
PAY0000353,INV001446,01-06-2024,CHEQUE,593418.67,FAILED
PAY0000354,INV002613,26-11-2025,ACH,295042.45,FAILED
PAY0000355,INV000379,01-10-2025,ACH,581444.05,SUCCESS
PAY0000356,INV003692,21-09-2025,WIRE,63372.04,FAILED
PAY0000357,INV001352,23-04-2025,ACH,67429.21,FAILED
PAY0000358,INV001034,11-12-2024,CHEQUE,562753.16,
PAY0000359,INV003041,28-01-2024,CASH,266332.45,FAILED
PAY0000360,INV003438,04-08-2024,CASH,19988.13,FAILED
PAY0000361,INV000439,29-04-2024,CASH,55257.98,
PAY0000362,INV002645,21-08-2024,WIRE,390987.71,SUCCESS
PAY0000363,INV003721,04-10-2025,ACH,473348.19,SUCCESS
PAY0000364,INV000952,24-02-2024,CHEQUE,236674.97,
PAY0000365,INV002677,15-08-2025,CHEQUE,201396.44,SUCCESS
PAY0000366,INV000844,05-08-2025,CHEQUE,457097.83,FAILED
PAY0000367,INV000464,12-06-2024,WIRE,423905.27,SUCCESS
PAY0000368,INV002985,06-07-2024,CHEQUE,48981.66,SUCCESS
PAY0000369,INV001807,12-04-2025,ACH,492891.72,SUCCESS
PAY0000370,INV000097,10-01-2025,ACH,78510.94,SUCCESS
PAY0000371,INV003999,03-11-2024,CASH,136336.19,
PAY0000372,INV000717,24-01-2024,ACH,378071.29,SUCCESS
PAY0000373,INV003940,23-10-2024,CASH,322906.49,
PAY0000374,INV003569,24-05-2025,CASH,252141.44,SUCCESS
PAY0000375,INV003073,01-11-2024,CASH,8912.43,
PAY0000376,INV003980,01-09-2024,CASH,483812.51,
PAY0000377,INV003940,21-07-2024,CASH,481242.84,
PAY0000378,INV003069,04-08-2025,CASH,186959.42,FAILED
PAY0000379,INV002297,17-12-2025,WIRE,345276.38,
PAY0000380,INV002332,14-05-2025,CHEQUE,344066.49,SUCCESS
PAY0000381,INV000354,20-03-2025,WIRE,76353.53,
PAY0000382,INV001251,27-05-2025,ACH,315138.68,SUCCESS
PAY0000383,INV001311,12-10-2025,WIRE,489133.35,SUCCESS
PAY0000384,INV000600,21-11-2025,CASH,220830.21,SUCCESS
PAY0000385,INV002531,04-08-2024,CASH,363568.98,
PAY0000386,INV003049,24-08-2024,CASH,113861.69,
PAY0000387,INV002706,06-03-2024,ACH,32164.18,SUCCESS
PAY0000388,INV003457,17-05-2024,ACH,435166.29,SUCCESS
PAY0000389,INV003472,22-11-2024,CASH,501970.44,SUCCESS
PAY0000390,INV000826,25-06-2024,ACH,141527.73,
PAY0000391,INV003896,27-03-2024,CASH,548040.92,
PAY0000392,INV000290,25-05-2024,WIRE,396480.35,FAILED
PAY0000393,INV001558,07-08-2025,CHEQUE,530308.37,SUCCESS
PAY0000394,INV000303,04-12-2025,CHEQUE,54977.8,
PAY0000395,INV001579,10-06-2024,CHEQUE,497168.23,
PAY0000396,INV003368,28-03-2024,CHEQUE,554547.15,FAILED
PAY0000397,INV002479,20-08-2025,ACH,114317.33,FAILED
PAY0000398,INV003183,01-09-2024,CHEQUE,556196.34,
PAY0000399,INV001935,09-05-2025,ACH,258950.29,SUCCESS
PAY0000400,INV000213,10-06-2024,WIRE,1140.77,FAILED
PAY0000401,INV000013,12-08-2025,ACH,111582.72,FAILED
PAY0000402,INV000165,02-06-2024,WIRE,496125.12,
PAY0000403,INV003164,08-08-2024,CHEQUE,515155.54,
PAY0000404,INV000778,26-12-2024,WIRE,119927.32,FAILED
PAY0000405,INV002539,21-06-2025,CASH,146347.47,SUCCESS
PAY0000406,INV003961,27-12-2025,CHEQUE,126812.73,
PAY0000407,INV002167,08-09-2025,ACH,59606.21,SUCCESS
PAY0000408,INV002553,04-10-2024,WIRE,185928.61,
PAY0000409,INV001116,20-06-2025,ACH,301230.35,SUCCESS
PAY0000410,INV000976,01-09-2025,CASH,73853.82,SUCCESS
PAY0000411,INV003130,14-09-2025,WIRE,11537.63,
PAY0000412,INV003714,23-10-2024,CASH,88116.78,
PAY0000413,INV002556,14-10-2025,ACH,427163.5,SUCCESS
PAY0000414,INV000281,20-09-2024,ACH,507571.43,
PAY0000415,INV000388,23-05-2025,WIRE,57519.9,FAILED
PAY0000416,INV003101,05-08-2024,WIRE,2417.19,FAILED
PAY0000417,INV003984,19-02-2025,WIRE,510659.91,
PAY0000418,INV002008,25-08-2025,CHEQUE,337585.66,
PAY0000419,INV000108,25-02-2024,CHEQUE,562874.63,
