po_line_id,po_id,item_code,quantity,unit_price,line_amount
POL0000171,PO000626,ITEM0291,450,2321.96,1044882
POL0000172,PO000101,ITEM0286,187,2097.99,392324.13
POL0000173,PO002590,ITEM0306,185,4948.81,915529.85
POL0000174,PO002711,ITEM0354,-3,2171.91,-6515.73
POL0000175,PO000389,ITEM0034,474,919.55,435866.7
POL0000176,PO000811,ITEM0045,66,1354.45,89393.7
POL0000177,PO002251,ITEM0569,71,1517.61,107750.31
POL0000178,PO002045,ITEM0887,239,3034.12,725154.68
POL0000179,PO002728,ITEM0123,426,799.1,340416.6
POL0000180,PO001325,ITEM0977,44,334.53,14719.32
POL0000181,PO002025,ITEM0444,62,1175.76,72897.12
POL0000182,PO002587,ITEM0325,-4,4784.28,-19137.12
POL0000183,PO001758,ITEM0250,149,3420.29,509623.21
POL0000184,PO002969,ITEM0765,261,1409.49,367876.89
POL0000185,PO002316,ITEM0970,432,640.67,276769.44
POL0000186,PO001009,ITEM0429,218,1850.04,403308.72
POL0000187,PO001281,ITEM0976,342,1167.19,399178.98
POL0000188,PO001357,ITEM0399,274,1703.79,466838.46
POL0000189,PO002592,ITEM1173,484,1609.16,778833.44
POL0000190,PO002497,ITEM0486,107,3540.52,378835.64
POL0000191,PO001925,ITEM0040,117,2442.94,285823.98
POL0000192,PO000608,ITEM0659,440,477.91,210280.4
POL0000193,PO002982,ITEM0545,241,2313.45,557541.45
POL0000194,PO001132,ITEM0294,189,3887.17,734675.13
POL0000195,PO001011,ITEM0458,388,295.11,114502.68
POL0000196,PO002543,ITEM0989,157,1780.84,279591.88
POL0000197,PO001311,ITEM0993,391,1363.79,533241.89
POL0000198,PO000820,ITEM0386,299,4416.07,1320404.93
POL0000199,PO001211,ITEM0125,295,3025.41,892495.95
POL0000200,PO002065,ITEM0579,89,2617.51,232958.39
POL0000201,PO000045,ITEM0611,182,2114.96,384922.72
POL0000202,PO000119,ITEM0864,63,1480.52,93272.76
POL0000203,PO000605,ITEM0915,228,3878.98,884407.44
POL0000204,PO001820,ITEM0644,274,784.89,215059.86
POL0000205,PO000811,ITEM0929,130,2279.72,296363.6
POL0000206,PO000070,ITEM0254,290,642.68,186377.2
POL0000207,PO001511,ITEM0291,157,2762.88,433772.16
POL0000208,PO000105,ITEM0890,358,1875.15,671303.7
POL0000209,PO002512,ITEM0071,192,889.99,170878.08
POL0000210,PO002329,ITEM0081,155,2828.08,438352.4
POL0000211,PO002924,ITEM0271,18,3613.88,65049.84
POL0000212,PO000621,ITEM0210,464,339.47,157514.08
POL0000213,PO000377,ITEM0738,471,3569.27,1681126.17
POL0000214,PO001408,ITEM0143,163,405.79,66143.77
POL0000215,PO001706,ITEM0811,269,310.75,83591.75
POL0000216,PO000849,ITEM0919,270,4114.23,1110842.1
POL0000217,PO001069,ITEM0466,380,4557.12,1731705.6
POL0000218,PO000100,ITEM0108,320,3417.61,1093635.2
POL0000219,PO000174,ITEM0087,347,1127.6,391277.2
POL0000220,PO000564,ITEM1026,109,4749.83,517731.47
POL0000221,PO002746,ITEM0811,188,3779.82,765.77
POL0000222,PO002928,ITEM0850,242,117.57,28451.94
POL0000223,PO000148,ITEM0428,10,1000.62,10006.2
POL0000224,PO002875,ITEM0166,241,35.76,8618.16
POL0000225,PO000673,ITEM0814,178,2545.74,453141.72
POL0000226,PO002571,ITEM0577,264,36.75,9702
POL0000227,PO000655,ITEM0413,181,2554.4,462346.4
POL0000228,PO001340,ITEM0534,121,1672.43,202364.03
POL0000229,PO000119,ITEM0913,323,1426.91,460891.93
POL0000230,PO001662,ITEM0420,323,3359.23,1085031.29
POL0000231,PO000438,ITEM0422,11,1937.26,21309.86
POL0000232,PO001224,ITEM0439,281,3678.51,1033661.31
POL0000233,PO001900,ITEM0112,408,1516.85,618874.8
POL0000234,PO001034,ITEM0445,107,2834.23,303262.61
POL0000235,PO000742,ITEM0684,148,61.8,9146.4
POL0000236,PO002949,ITEM0671,474,3599.71,1706262.54
POL0000237,PO000677,ITEM1007,190,3009.06,571721.4
POL0000238,PO002733,ITEM0509,295,1426.71,420879.45
POL0000239,PO000128,ITEM0103,44,4422.06,194570.64
POL0000240,PO000001,ITEM0622,474,1371.16,649929.84
POL0000241,PO000654,ITEM0200,363,2840.55,1031119.65
POL0000242,PO001734,ITEM0764,100,3228.86,322886
POL0000243,PO001219,ITEM0072,203,3268.13,663430.39
POL0000244,PO001872,ITEM0420,144,709.19,102123.36
POL0000245,PO002793,ITEM0063,315,3721.3,1172209.5
POL0000246,PO000059,ITEM0231,467,2382.52,1112636.84
POL0000247,PO002375,ITEM1142,110,2276.22,250384.2
POL0000248,PO001965,ITEM0130,1,3514.38,3514.38
POL0000249,PO001629,ITEM0773,68,1077.38,497.93
POL0000250,PO000717,ITEM0028,415,2328.51,966331.65
POL0000251,PO001151,ITEM0577,12,3283.05,39396.6
POL0000252,PO000100,ITEM0557,93,4009.71,372903.03
POL0000253,PO001835,ITEM0004,86,1174.09,100971.74
POL0000254,PO001784,ITEM1145,12,4367.6,52411.2
POL0000255,PO002931,ITEM0097,240,3959.82,950356.8
POL0000256,PO001869,ITEM0968,35,2990.25,104658.75
POL0000257,PO001521,ITEM1129,181,3293.01,596034.81
POL0000258,PO001421,ITEM0834,154,3675.97,566099.38
POL0000259,PO001424,ITEM0599,195,1860.55,362807.25
POL0000260,PO002026,ITEM1111,334,3758.3,1255272.2
POL0000261,PO002467,ITEM0519,482,2158.56,1040425.92
POL0000262,PO002644,ITEM0956,160,4623.6,739776
POL0000263,PO000673,ITEM0088,266,4309,1146194
POL0000264,PO002561,ITEM0298,460,4298.56,1977337.6
POL0000265,PO000654,ITEM1175,266,3163.49,841488.34
POL0000266,PO002840,ITEM0812,407,3961.39,1612285.73
POL0000267,PO002054,ITEM1115,204,4403.62,104.71
POL0000268,PO002255,ITEM0338,-8,1273.59,-10188.72
POL0000269,PO001372,ITEM1002,340,3548.76,1206578.4
POL0000270,PO001530,ITEM1124,364,4182.34,1522371.76
POL0000271,PO001609,ITEM0449,257,3284.46,844106.22
POL0000272,PO000436,ITEM0463,373,2039.99,760916.27
POL0000273,PO002843,ITEM0386,222,778.51,172829.22
POL0000274,PO002067,ITEM0221,447,3967.97,1773682.59
POL0000275,PO001256,ITEM0496,458,361.03,165351.74
POL0000276,PO002220,ITEM0198,145,4126.16,598293.2
POL0000277,PO000128,ITEM0606,87,117.53,10225.11
POL0000278,PO002788,ITEM0147,85,4138.28,351753.8
POL0000279,PO001729,ITEM0733,221,4755.06,1050868.26
POL0000280,PO001230,ITEM0703,-5,3489.09,-17445.45
POL0000281,PO002537,ITEM0980,96,1518.93,145817.28
POL0000282,PO002013,ITEM0065,293,209.37,61345.41
POL0000283,PO002870,ITEM0970,169,155.2,26228.8
POL0000284,PO000402,ITEM0866,186,3764.59,700213.74
POL0000285,PO002806,ITEM1005,307,4403.18,1351776.26
POL0000286,PO001997,ITEM0178,184,193.36,35578.24
POL0000287,PO001006,ITEM0193,268,460.24,123344.32
POL0000288,PO002473,ITEM0962,373,1686.91,310.5
POL0000289,PO001849,ITEM0444,387,3520.2,1362317.4
POL0000290,PO000526,ITEM0058,38,51.47,1955.86
POL0000291,PO000743,ITEM0949,217,345.5,74973.5
POL0000292,PO002195,ITEM0100,279,1940.89,541508.31
POL0000293,PO002012,ITEM0357,50,3491.08,174554
POL0000294,PO000164,ITEM0595,140,4267.78,597489.2
POL0000295,PO000635,ITEM0158,208,548.37,114060.96
POL0000296,PO001587,ITEM0362,238,1245.21,296359.98
POL0000297,PO000916,ITEM0697,12,1511.38,18136.56
POL0000298,PO000937,ITEM0911,288,4227.69,1217574.72
POL0000299,PO000416,ITEM0337,475,4558.28,2165183
POL0000300,PO002479,ITEM1153,369,4893.98,496.65
POL0000301,PO000085,ITEM1076,396,3494.61,1383865.56
POL0000302,PO000436,ITEM0858,178,3174.16,565000.48
POL0000303,PO002876,ITEM0865,132,2181.46,287952.72
POL0000304,PO002723,ITEM0733,34,1313.88,44671.92
POL0000305,PO000564,ITEM0248,249,4596.37,87.29
POL0000306,PO001828,ITEM1119,85,3323.2,282472
POL0000307,PO002689,ITEM0380,124,2389.4,296285.6
POL0000308,PO000952,ITEM0415,49,2798.33,137118.17
POL0000309,PO001601,ITEM0023,58,3733.21,216526.18
POL0000310,PO000462,ITEM1075,251,3940.44,989050.44
POL0000311,PO001243,ITEM0281,289,2652.6,766601.4
POL0000312,PO000875,ITEM0387,114,4302.93,490534.02
POL0000313,PO000406,ITEM0354,234,2393.67,560118.78
POL0000314,PO000291,ITEM0300,314,3135.15,984437.1
POL0000315,PO000279,ITEM0979,429,2549.34,1093666.86
POL0000316,PO000675,ITEM0506,495,362.95,179660.25
POL0000317,PO001482,ITEM0462,201,4198.85,843968.85
POL0000318,PO001769,ITEM0088,198,298.37,59077.26
POL0000319,PO000789,ITEM0766,389,1973.14,767551.46
POL0000320,PO000921,ITEM0261,300,4181.86,1254558
POL0000321,PO001666,ITEM0323,476,3952.34,1881313.84
POL0000322,PO000308,ITEM0887,256,1438.14,368163.84
POL0000323,PO000348,ITEM0299,203,331.67,67329.01
POL0000324,PO001611,ITEM0576,10,1847.61,18476.1
POL0000325,PO001399,ITEM0622,403,4933.39,1988156.17
POL0000326,PO001263,ITEM0963,299,1635.44,488996.56
POL0000327,PO002820,ITEM1148,187,3787.09,708185.83
POL0000328,PO002352,ITEM0282,299,2996.71,896016.29
POL0000329,PO001403,ITEM1092,36,3457.12,124456.32
POL0000330,PO002577,ITEM0550,313,314.67,98491.71
POL0000331,PO002104,ITEM0467,437,1444.73,631347.01
POL0000332,PO000981,ITEM1160,453,1620.82,734231.46
POL0000333,PO001373,ITEM1061,487,1531.74,745957.38
POL0000334,PO001737,ITEM0386,132,1319.55,174180.6
POL0000335,PO002820,ITEM0605,445,3934.47,1750839.15
POL0000336,PO002224,ITEM1133,341,1807.43,616333.63
POL0000337,PO002131,ITEM0356,398,2313.45,920753.1
POL0000338,PO002616,ITEM0506,360,4380.73,1577062.8
POL0000339,PO001382,ITEM0375,394,3167.22,1247884.68
POL0000340,PO001007,ITEM0803,404,2484.78,1003851.12
POL0000341,PO001881,ITEM1101,128,4662.42,596789.76
POL0000342,PO001035,ITEM0255,120,3029.92,363590.4
POL0000343,PO001611,ITEM0007,406,2753.42,1117888.52
POL0000344,PO002028,ITEM0932,405,4670.61,1891597.05
POL0000345,PO001135,ITEM1047,271,2917.92,790756.32
POL0000346,PO001752,ITEM1003,91,1328.51,120894.41
POL0000347,PO001283,ITEM0245,233,2185.86,509305.38
POL0000348,PO000224,ITEM0085,52,1806.67,93946.84
POL0000349,PO002193,ITEM0550,132,537.31,70924.92
POL0000350,PO002813,ITEM0867,39,4628.74,180520.86
POL0000351,PO000246,ITEM0021,446,3301.48,1472460.08
POL0000352,PO001136,ITEM0583,490,3121.8,1529682
POL0000353,PO002473,ITEM1169,108,1102.19,119036.52
POL0000354,PO000969,ITEM0311,465,2763.08,584.54
POL0000355,PO001570,ITEM0417,380,1099.36,417756.8
POL0000356,PO000374,ITEM1170,-2,4772.37,-9544.74
POL0000357,PO001992,ITEM0256,491,4870.43,2391381.13
POL0000358,PO000992,ITEM0942,422,2032.01,857508.22
POL0000359,PO000903,ITEM0573,446,867.72,387003.12
POL0000360,PO001783,ITEM1188,112,3355.81,375850.72
POL0000361,PO000875,ITEM0476,424,1933.52,819812.48
POL0000362,PO001820,ITEM0907,31,2042.67,63322.77
POL0000363,PO002520,ITEM0779,444,1922.38,765.29
POL0000364,PO002014,ITEM0895,95,4409.03,418857.85
POL0000365,PO000085,ITEM1023,258,1711.44,441551.52
POL0000366,PO002485,ITEM0421,188,4191.09,787924.92
POL0000367,PO002863,ITEM0774,350,386.78,135373
POL0000368,PO001288,ITEM0724,196,1035.65,202987.4
POL0000369,PO000946,ITEM0778,117,3574.67,418236.39
POL0000370,PO002812,ITEM1154,230,4803.28,1104754.4
POL0000371,PO002921,ITEM0045,347,323.47,112244.09
POL0000372,PO000084,ITEM1006,166,1797.6,298401.6
POL0000373,PO000367,ITEM0896,218,4545.94,991014.92
POL0000374,PO001065,ITEM0981,107,1345.61,143980.27
POL0000375,PO002642,ITEM1060,102,4268.23,435359.46
POL0000376,PO000149,ITEM0782,404,978.56,395338.24
POL0000377,PO002897,ITEM0326,379,1142.9,433159.1
POL0000378,PO001026,ITEM0163,346,2764.12,956385.52
POL0000379,PO001201,ITEM0291,120,2265.5,271860
POL0000380,PO000762,ITEM0470,132,4355.04,574865.28
POL0000381,PO000950,ITEM0189,75,2602.54,195190.5
POL0000382,PO000721,ITEM0591,283,3273.11,926290.13
POL0000383,PO000688,ITEM0484,472,2116.32,961.38
POL0000384,PO000276,ITEM0208,298,3562.65,1061669.7
POL0000385,PO000509,ITEM0948,390,893.65,348523.5
POL0000386,PO000626,ITEM1093,178,3616.04,643655.12
POL0000387,PO001334,ITEM0352,115,3934.54,452472.1
POL0000388,PO002052,ITEM1034,252,4066.53,1024765.56
POL0000389,PO000199,ITEM0961,191,674.75,128877.25
POL0000390,PO002495,ITEM0753,57,1209.63,68948.91
POL0000391,PO001864,ITEM0359,132,2312.03,305187.96
POL0000392,PO002622,ITEM0087,355,1241.07,440579.85
POL0000393,PO001177,ITEM0944,183,679.52,124352.16
POL0000394,PO001618,ITEM1128,240,3387.63,813031.2
POL0000395,PO001912,ITEM1065,196,4443.96,871016.16
POL0000396,PO001660,ITEM0515,300,2887.36,866208
POL0000397,PO002047,ITEM0259,198,834.48,165227.04
POL0000398,PO001506,ITEM0612,95,367.09,34873.55
POL0000399,PO001540,ITEM0614,452,2062.07,932055.64
POL0000400,PO000066,ITEM0442,151,2436.11,367852.61
POL0000401,PO001843,ITEM0287,316,3751.74,1185549.84
POL0000402,PO000583,ITEM0034,144,1981.8,285379.2
POL0000403,PO001994,ITEM0818,452,2195.13,992198.76
POL0000404,PO000839,ITEM0949,228,1857.84,423587.52
POL0000405,PO000597,ITEM0208,481,256.73,123487.13
POL0000406,PO001584,ITEM0888,17,1752.78,29797.26
POL0000407,PO002100,ITEM1130,140,1773.87,248341.8
POL0000408,PO001964,ITEM0139,468,4906.79,2296377.72
POL0000409,PO002076,ITEM0340,89,1551.71,102.2
POL0000410,PO001105,ITEM0123,371,3555.53,219.48
POL0000411,PO001837,ITEM0827,256,1856.33,475220.48
POL0000412,PO002547,ITEM0669,303,2301.45,697339.35
POL0000413,PO002399,ITEM0253,16,4006.12,64097.92
POL0000414,PO002106,ITEM0075,378,2437.58,921405.24
POL0000415,PO002320,ITEM1037,270,3643.32,983696.4
POL0000416,PO001548,ITEM0677,485,766.65,371825.25
POL0000417,PO002602,ITEM0548,215,3657.25,786308.75
POL0000418,PO000382,ITEM0787,380,4574.97,1738488.6
POL0000419,PO001241,ITEM0025,102,209.46,21364.92
POL0000420,PO000794,ITEM0856,89,2091.88,186177.32
POL0000421,PO002241,ITEM1164,442,758.23,335137.66
POL0000422,PO000272,ITEM0335,459,1053.08,483363.72
POL0000423,PO000271,ITEM0449,125,3636.19,454523.75
POL0000424,PO002756,ITEM1011,492,828.02,407385.84
POL0000425,PO001404,ITEM0763,332,2298.03,762945.96
POL0000426,PO002364,ITEM1144,479,4782.62,2290874.98
POL0000427,PO001355,ITEM0669,451,4071.9,1836426.9
POL0000428,PO002936,ITEM1066,331,3409.79,1128640.49
POL0000429,PO001005,ITEM0464,402,2969.25,1193638.5
POL0000430,PO001345,ITEM1043,212,2416.98,512399.76
POL0000431,PO001658,ITEM0106,488,3621.38,1767233.44
POL0000432,PO001056,ITEM0219,143,4008.37,573196.91
POL0000433,PO000897,ITEM0510,274,1118.13,306367.62
POL0000434,PO002857,ITEM1111,68,4630.26,314857.68
POL0000435,PO001718,ITEM1161,201,3712.62,746236.62
POL0000436,PO002553,ITEM0986,31,1212.47,37586.57
POL0000437,PO001286,ITEM0117,329,331.6,109096.4
POL0000438,PO001697,ITEM0970,407,2160.84,879461.88
POL0000439,PO000485,ITEM0631,160,4687.97,750075.2
POL0000440,PO001624,ITEM0439,440,4988.99,2195155.6
POL0000441,PO000997,ITEM0338,424,1175.56,498437.44
POL0000442,PO001544,ITEM0170,296,1635.71,484170.16
POL0000443,PO000035,ITEM0308,32,3980.97,127391.04
POL0000444,PO002857,ITEM0312,242,4482.91,1084864.22
POL0000445,PO000134,ITEM0274,-9,2356.04,-21204.36
POL0000446,PO002809,ITEM0732,421,1833.83,772042.43
POL0000447,PO001269,ITEM0677,34,202.15,6873.1
POL0000448,PO000162,ITEM0001,500,2914.32,1457160
POL0000449,PO001601,ITEM1005,88,3947.71,347398.48
POL0000450,PO002155,ITEM0147,293,1457.14,426942.02
POL0000451,PO001894,ITEM0533,135,693.08,93565.8
POL0000452,PO000394,ITEM1017,387,3499.71,1354387.77
POL0000453,PO001612,ITEM0694,342,1418.49,485123.58
POL0000454,PO001854,ITEM0735,345,2363.3,815338.5
POL0000455,PO002891,ITEM0822,146,1468.27,214367.42
POL0000456,PO001267,ITEM0669,466,1175.63,547843.58
POL0000457,PO000636,ITEM0076,226,743.6,168053.6
POL0000458,PO000605,ITEM0221,290,4375.71,1268955.9
POL0000459,PO000301,ITEM0579,54,746.63,40318.02
POL0000460,PO000980,ITEM0987,342,1599.75,547114.5
POL0000461,PO002738,ITEM1131,52,4649.37,241767.24
POL0000462,PO000860,ITEM0970,144,4687.18,674953.92
POL0000463,PO000785,ITEM0707,176,782.65,137746.4
POL0000464,PO001033,ITEM0798,6,4205.61,25233.66
POL0000465,PO001629,ITEM0663,244,2317.52,565474.88
POL0000466,PO002898,ITEM0865,407,1634.54,665257.78
