transaction_id,item_code,warehouse_code,transaction_type,quantity,transaction_date
TXN00000049,ITEM1097,WH_EU_01,ISSUE,-51,25-07-2025
TXN00000050,ITEM0440,WH_IN_01,ADJUSTMENT,-496,24-06-2024
TXN00000051,ITEM0374,WH_US_01,INVALID,-12,08-01-2025
TXN00000052,ITEM0314,WH_IN_01,ISSUE,439,26-07-2025
TXN00000053,ITEM0929,WH_US_01,ADJUSTMENT,-75,25-01-2025
TXN00000054,ITEM0795,,INVALID,-20,12-06-2025
TXN00000055,ITEM0164,WH_EU_01,ISSUE,64,14-05-2024
TXN00000056,ITEM0814,WH_EU_01,INVALID,33,08-06-2024
TXN00000057,ITEM1039,,ISSUE,18,17-12-2025
TXN00000058,ITEM0133,WH_IN_01,ADJUSTMENT,-116,17-06-2024
TXN00000059,ITEM0754,,INVALID,449,21-09-2024
TXN00000060,ITEM0071,WH_IN_01,ADJUSTMENT,104,25-03-2025
TXN00000061,ITEM0195,WH_IN_01,ADJUSTMENT,-82,08-03-2024
TXN00000062,ITEM1159,WH_US_01,ISSUE,-125,29-06-2024
TXN00000063,ITEM0781,WH_US_01,INVALID,-65,07-05-2025
TXN00000064,ITEM0620,WH_US_01,RECEIPT,-2,13-04-2025
TXN00000065,ITEM0547,WH_US_01,RECEIPT,-382,24-04-2025
TXN00000066,ITEM0449,WH_US_01,ISSUE,458,23-01-2025
TXN00000067,ITEM1146,,ISSUE,443,02-10-2025
TXN00000068,ITEM0403,WH_IN_01,RECEIPT,318,06-05-2024
TXN00000069,ITEM0873,,RECEIPT,-186,27-06-2024
TXN00000070,ITEM0874,,RECEIPT,484,24-06-2024
TXN00000071,ITEM0394,WH_US_01,ISSUE,23,12-07-2025
TXN00000072,ITEM0841,WH_US_01,ISSUE,264,13-03-2024
TXN00000073,ITEM0291,WH_US_01,ADJUSTMENT,450,30-08-2024
TXN00000074,ITEM1014,WH_EU_01,ISSUE,-146,13-10-2024
TXN00000075,ITEM0372,WH_EU_01,ISSUE,233,26-01-2025
TXN00000076,ITEM1101,,ISSUE,365,09-11-2024
TXN00000077,ITEM0380,WH_IN_01,ISSUE,481,14-09-2024
TXN00000078,ITEM0146,,RECEIPT,185,29-06-2025
TXN00000079,ITEM0716,WH_US_01,INVALID,470,08-08-2024
TXN00000080,ITEM0683,,RECEIPT,-227,29-11-2025
TXN00000081,ITEM0989,WH_EU_01,RECEIPT,-338,25-08-2024
TXN00000082,ITEM0774,WH_EU_01,ISSUE,70,08-01-2026
TXN00000083,ITEM1070,,INVALID,-448,10-02-2024
TXN00000084,ITEM0753,WH_IN_01,ISSUE,-70,16-01-2026
TXN00000085,ITEM1053,,INVALID,-25,17-06-2025
TXN00000086,ITEM0125,WH_US_01,INVALID,28,18-03-2025
TXN00000087,ITEM0792,WH_US_01,RECEIPT,222,23-04-2024
TXN00000088,ITEM0548,,INVALID,362,23-02-2024
TXN00000089,ITEM0283,WH_IN_01,ISSUE,-412,20-03-2025
TXN00000090,ITEM0533,,RECEIPT,-395,26-05-2025
TXN00000091,ITEM1179,WH_EU_01,ISSUE,-82,19-04-2025
TXN00000092,ITEM0813,WH_EU_01,ISSUE,-295,27-01-2024
TXN00000093,ITEM0054,,INVALID,385,03-08-2025
TXN00000094,ITEM0927,WH_IN_01,ADJUSTMENT,424,14-06-2025
TXN00000095,ITEM0583,WH_EU_01,INVALID,262,11-05-2025
TXN00000096,ITEM0681,WH_EU_01,INVALID,28,27-08-2024
TXN00000097,ITEM0281,WH_EU_01,ADJUSTMENT,-339,08-02-2024
TXN00000098,ITEM0960,,RECEIPT,401,10-08-2025
TXN00000099,ITEM1152,WH_EU_01,ADJUSTMENT,-421,15-09-2024
TXN00000100,ITEM0883,,INVALID,-459,26-09-2025
TXN00000101,ITEM0033,WH_US_01,ADJUSTMENT,58,18-12-2025
TXN00000102,ITEM0575,WH_EU_01,INVALID,-200,22-05-2025
TXN00000103,ITEM1058,WH_US_01,ISSUE,-122,01-11-2025
TXN00000104,ITEM0827,,INVALID,-382,30-04-2025
TXN00000105,ITEM0152,WH_EU_01,INVALID,-209,07-09-2025
TXN00000106,ITEM0114,WH_EU_01,INVALID,-284,30-08-2025
TXN00000107,ITEM0637,WH_IN_01,ISSUE,210,25-12-2024
TXN00000108,ITEM0370,WH_EU_01,ISSUE,48,07-06-2024
TXN00000109,ITEM0802,WH_US_01,RECEIPT,487,05-06-2024
TXN00000110,ITEM0912,WH_IN_01,RECEIPT,-243,09-11-2024
TXN00000111,ITEM0466,WH_US_01,RECEIPT,245,19-02-2024
TXN00000112,ITEM0356,WH_US_01,INVALID,22,07-05-2024
TXN00000113,ITEM0157,WH_IN_01,INVALID,117,22-06-2025
TXN00000114,ITEM0245,WH_IN_01,ADJUSTMENT,31,16-04-2025
TXN00000115,ITEM0943,WH_US_01,ISSUE,281,12-12-2025
TXN00000116,ITEM1010,WH_IN_01,INVALID,207,31-07-2024
TXN00000117,ITEM0315,WH_EU_01,RECEIPT,274,30-01-2025
TXN00000118,ITEM0066,WH_IN_01,ADJUSTMENT,500,29-02-2024
TXN00000119,ITEM0496,WH_IN_01,ADJUSTMENT,-494,27-03-2025
TXN00000120,ITEM0703,WH_US_01,ADJUSTMENT,89,16-08-2024
TXN00000121,ITEM0177,WH_US_01,ISSUE,309,08-12-2025
TXN00000122,ITEM1091,WH_US_01,RECEIPT,157,07-08-2025
TXN00000123,ITEM1139,WH_US_01,ISSUE,-16,16-08-2024
TXN00000124,ITEM1172,,ISSUE,462,23-08-2025
TXN00000125,ITEM0576,WH_US_01,INVALID,-240,27-04-2025
TXN00000126,ITEM0375,WH_IN_01,INVALID,477,05-03-2025
TXN00000127,ITEM0650,WH_EU_01,ADJUSTMENT,-385,02-01-2026
TXN00000128,ITEM0110,WH_US_01,RECEIPT,403,01-02-2025
TXN00000129,ITEM0259,WH_US_01,RECEIPT,313,18-12-2024
TXN00000130,ITEM0452,WH_IN_01,ADJUSTMENT,478,18-12-2025
TXN00000131,ITEM0084,,RECEIPT,-230,28-11-2024
TXN00000132,ITEM0368,,INVALID,-247,26-08-2025
TXN00000133,ITEM0353,,ADJUSTMENT,80,01-03-2024
TXN00000134,ITEM0385,WH_EU_01,INVALID,-172,11-10-2025
TXN00000135,ITEM0747,WH_IN_01,ADJUSTMENT,179,11-06-2025
TXN00000136,ITEM0703,,INVALID,146,11-05-2025
TXN00000137,ITEM1192,,ISSUE,-338,28-02-2025
TXN00000138,ITEM0481,,INVALID,379,04-06-2024
TXN00000139,ITEM0616,WH_IN_01,INVALID,178,06-02-2025
TXN00000140,ITEM0535,WH_IN_01,ISSUE,-213,08-10-2024
TXN00000141,ITEM0637,WH_US_01,INVALID,496,22-08-2024
TXN00000142,ITEM0718,WH_IN_01,INVALID,373,12-05-2024
TXN00000143,ITEM0989,,ADJUSTMENT,-276,31-01-2024
TXN00000144,ITEM0846,WH_IN_01,RECEIPT,269,01-06-2024
TXN00000145,ITEM0016,WH_IN_01,INVALID,-267,17-06-2024
TXN00000146,ITEM0687,WH_US_01,RECEIPT,-49,13-01-2026
TXN00000147,ITEM0124,WH_IN_01,ADJUSTMENT,-4,06-07-2024
TXN00000148,ITEM0757,,INVALID,366,14-06-2025
TXN00000149,ITEM0012,,INVALID,-463,11-02-2024
TXN00000150,ITEM0379,WH_US_01,ADJUSTMENT,-7,14-06-2025
TXN00000151,ITEM0532,WH_EU_01,ADJUSTMENT,363,19-12-2024
TXN00000152,ITEM0071,WH_US_01,ADJUSTMENT,259,06-12-2025
TXN00000153,ITEM1133,WH_IN_01,ISSUE,320,08-03-2024
TXN00000154,ITEM0564,,ISSUE,-375,18-12-2025
TXN00000155,ITEM1093,WH_EU_01,ADJUSTMENT,181,14-11-2024
TXN00000156,ITEM0903,WH_EU_01,ADJUSTMENT,-308,25-10-2024
TXN00000157,ITEM0179,,RECEIPT,469,24-03-2025
TXN00000158,ITEM0880,,ISSUE,-105,07-10-2024
TXN00000159,ITEM0994,,RECEIPT,197,21-10-2025
TXN00000160,ITEM0803,,INVALID,88,25-03-2024
TXN00000161,ITEM0258,,ISSUE,229,18-04-2024
TXN00000162,ITEM0105,WH_IN_01,ADJUSTMENT,298,16-02-2025
TXN00000163,ITEM0454,WH_US_01,RECEIPT,-141,10-11-2024
TXN00000164,ITEM0545,WH_IN_01,RECEIPT,-114,15-09-2024
TXN00000165,ITEM0912,WH_US_01,ADJUSTMENT,-449,18-10-2025
TXN00000166,ITEM0542,WH_IN_01,ISSUE,388,31-03-2024
TXN00000167,ITEM0337,WH_EU_01,RECEIPT,380,06-04-2025
TXN00000168,ITEM0893,,INVALID,-480,28-12-2024
TXN00000169,ITEM0830,WH_EU_01,RECEIPT,474,14-10-2025
TXN00000170,ITEM0771,WH_EU_01,INVALID,-336,26-08-2024
TXN00000171,ITEM0955,,INVALID,-294,15-03-2024
TXN00000172,ITEM1057,WH_US_01,RECEIPT,-292,11-03-2024
TXN00000173,ITEM0401,WH_US_01,ISSUE,373,24-08-2024
TXN00000174,ITEM0966,WH_EU_01,INVALID,16,04-06-2024
TXN00000175,ITEM0098,,INVALID,-104,16-01-2025
TXN00000176,ITEM0911,,ADJUSTMENT,52,24-07-2025
TXN00000177,ITEM0494,WH_US_01,ISSUE,189,19-04-2025
TXN00000178,ITEM0190,WH_IN_01,INVALID,22,14-08-2025
TXN00000179,ITEM0741,WH_EU_01,ISSUE,91,18-06-2024
TXN00000180,ITEM0876,WH_EU_01,ISSUE,103,01-02-2024
TXN00000181,ITEM1126,,RECEIPT,395,17-03-2024
TXN00000182,ITEM0234,WH_IN_01,ADJUSTMENT,-170,12-11-2024
TXN00000183,ITEM0557,WH_IN_01,ADJUSTMENT,-442,08-09-2025
TXN00000184,ITEM0666,WH_EU_01,RECEIPT,-89,27-05-2024
TXN00000185,ITEM0379,WH_EU_01,ADJUSTMENT,227,04-04-2024
TXN00000186,ITEM1134,WH_US_01,RECEIPT,275,05-06-2024
TXN00000187,ITEM1015,,INVALID,-12,02-03-2025
TXN00000188,ITEM0306,,ISSUE,-58,16-06-2025
TXN00000189,ITEM0057,WH_EU_01,RECEIPT,290,20-02-2025
TXN00000190,ITEM0158,WH_US_01,ISSUE,-138,03-12-2025
TXN00000191,ITEM0434,WH_EU_01,ISSUE,468,15-09-2024
TXN00000192,ITEM0671,WH_IN_01,ADJUSTMENT,13,15-09-2024
TXN00000193,ITEM0126,WH_US_01,RECEIPT,438,20-08-2025
TXN00000194,ITEM1161,,ISSUE,-413,09-02-2024
TXN00000195,ITEM1078,WH_US_01,RECEIPT,86,28-06-2025
TXN00000196,ITEM1089,,ISSUE,-298,18-11-2025
TXN00000197,ITEM0159,,INVALID,316,17-06-2024
TXN00000198,ITEM0711,WH_IN_01,INVALID,-277,07-11-2024
TXN00000199,ITEM0651,WH_US_01,RECEIPT,-467,08-07-2024
TXN00000200,ITEM0430,WH_US_01,RECEIPT,-92,08-12-2024
TXN00000201,ITEM0195,WH_EU_01,INVALID,-296,15-05-2025
TXN00000202,ITEM0015,WH_US_01,ISSUE,345,13-06-2025
TXN00000203,ITEM0614,WH_EU_01,RECEIPT,487,09-01-2025
TXN00000204,ITEM1144,WH_IN_01,ISSUE,-215,06-10-2024
TXN00000205,ITEM1092,WH_IN_01,ISSUE,-323,04-05-2025
TXN00000206,ITEM0607,,RECEIPT,-144,12-05-2024
TXN00000207,ITEM0668,WH_US_01,ADJUSTMENT,-405,10-02-2024
TXN00000208,ITEM0692,WH_IN_01,ADJUSTMENT,-210,28-10-2025
TXN00000209,ITEM1144,WH_EU_01,INVALID,244,26-09-2024
TXN00000210,ITEM0192,WH_US_01,INVALID,148,30-05-2025
TXN00000211,ITEM0064,WH_IN_01,RECEIPT,-276,29-08-2024
TXN00000212,ITEM1070,,INVALID,324,24-03-2025
TXN00000213,ITEM0144,WH_US_01,ISSUE,78,28-04-2025
TXN00000214,ITEM0628,,ADJUSTMENT,-352,02-07-2025
TXN00000215,ITEM1005,WH_US_01,ISSUE,94,12-06-2025
TXN00000216,ITEM0017,WH_EU_01,ISSUE,-207,07-12-2024
TXN00000217,ITEM0035,WH_IN_01,INVALID,-209,29-09-2025
TXN00000218,ITEM0783,WH_US_01,RECEIPT,-66,11-12-2024
TXN00000219,ITEM0638,WH_EU_01,ISSUE,-289,25-11-2025
TXN00000220,ITEM0971,WH_IN_01,RECEIPT,121,30-10-2024
TXN00000221,ITEM0103,WH_US_01,RECEIPT,-91,15-07-2024
TXN00000222,ITEM0357,WH_US_01,ISSUE,123,28-11-2025
TXN00000223,ITEM0097,WH_EU_01,RECEIPT,-487,16-10-2024
TXN00000224,ITEM0576,WH_US_01,INVALID,-263,15-09-2024
TXN00000225,ITEM0445,WH_US_01,ADJUSTMENT,-23,08-10-2024
TXN00000226,ITEM0808,,ISSUE,-480,24-05-2024
TXN00000227,ITEM0102,WH_US_01,INVALID,-203,09-05-2024
TXN00000228,ITEM0784,WH_US_01,RECEIPT,-180,04-04-2024
TXN00000229,ITEM1151,WH_EU_01,ISSUE,412,13-01-2026
TXN00000230,ITEM0080,,INVALID,-243,23-05-2025
TXN00000231,ITEM0802,WH_IN_01,RECEIPT,323,20-04-2025
TXN00000232,ITEM1179,WH_EU_01,ADJUSTMENT,289,23-09-2024
TXN00000233,ITEM0319,WH_IN_01,INVALID,-369,10-09-2024
TXN00000234,ITEM0215,WH_US_01,ISSUE,464,29-04-2024
TXN00000235,ITEM0840,WH_US_01,INVALID,456,28-05-2025
TXN00000236,ITEM0686,WH_EU_01,ISSUE,20,28-08-2025
TXN00000237,ITEM0607,WH_EU_01,RECEIPT,481,17-03-2025
TXN00000238,ITEM0265,,ISSUE,-334,04-12-2025
TXN00000239,ITEM0857,WH_IN_01,ISSUE,-11,22-07-2024
TXN00000240,ITEM0854,WH_IN_01,ADJUSTMENT,-166,30-11-2024
TXN00000241,ITEM1154,,ISSUE,358,21-08-2024
TXN00000242,ITEM0888,WH_IN_01,ADJUSTMENT,372,31-07-2025
TXN00000243,ITEM0425,WH_EU_01,ISSUE,219,10-07-2024
TXN00000244,ITEM0344,,INVALID,-232,24-03-2025
TXN00000245,ITEM1079,WH_US_01,INVALID,-65,11-07-2025
TXN00000246,ITEM0811,,RECEIPT,449,29-05-2025
TXN00000247,ITEM1160,,ADJUSTMENT,397,03-02-2024
TXN00000248,ITEM0628,WH_EU_01,ISSUE,152,30-11-2024
TXN00000249,ITEM0652,WH_EU_01,ADJUSTMENT,89,04-02-2024
TXN00000250,ITEM0692,WH_US_01,INVALID,-59,05-08-2024
TXN00000251,ITEM0609,WH_IN_01,ADJUSTMENT,269,08-06-2024
TXN00000252,ITEM0493,WH_IN_01,INVALID,-255,15-06-2024
TXN00000253,ITEM1133,WH_EU_01,INVALID,-71,10-08-2024
TXN00000254,ITEM0153,WH_US_01,RECEIPT,173,14-08-2025
TXN00000255,ITEM0648,WH_EU_01,ISSUE,473,18-06-2024
TXN00000256,ITEM0970,WH_US_01,INVALID,111,08-08-2024
TXN00000257,ITEM0080,,RECEIPT,481,14-11-2025
TXN00000258,ITEM0435,WH_US_01,INVALID,-341,21-11-2025
TXN00000259,ITEM1045,WH_EU_01,RECEIPT,-345,26-02-2024
TXN00000260,ITEM0002,WH_IN_01,RECEIPT,439,14-10-2024
TXN00000261,ITEM0825,WH_EU_01,INVALID,449,07-04-2025
TXN00000262,ITEM0048,WH_IN_01,ISSUE,-82,26-02-2024
TXN00000263,ITEM1060,WH_EU_01,INVALID,46,09-05-2025
TXN00000264,ITEM0841,WH_US_01,RECEIPT,-146,21-02-2024
TXN00000265,ITEM1072,WH_US_01,ADJUSTMENT,-250,12-09-2025
TXN00000266,ITEM0441,WH_US_01,INVALID,448,08-12-2025
TXN00000267,ITEM1185,,INVALID,-159,03-12-2024
TXN00000268,ITEM0011,WH_EU_01,ADJUSTMENT,-69,15-09-2025
TXN00000269,ITEM0553,WH_IN_01,RECEIPT,5,10-12-2025
TXN00000270,ITEM1019,WH_IN_01,RECEIPT,466,04-02-2024
TXN00000271,ITEM0957,WH_US_01,ISSUE,58,29-06-2024
TXN00000272,ITEM0322,,ISSUE,80,19-07-2024
TXN00000273,ITEM1091,WH_US_01,ADJUSTMENT,-270,17-09-2025
TXN00000274,ITEM0982,,ADJUSTMENT,-43,13-04-2025
TXN00000275,ITEM0799,WH_IN_01,RECEIPT,-205,26-08-2024
TXN00000276,ITEM0696,WH_US_01,RECEIPT,228,18-03-2025
TXN00000277,ITEM0743,WH_IN_01,INVALID,63,01-04-2025
TXN00000278,ITEM0636,,RECEIPT,-438,04-01-2025
TXN00000279,ITEM0768,WH_EU_01,ISSUE,-132,28-06-2025
TXN00000280,ITEM0146,,RECEIPT,325,19-09-2025
TXN00000281,ITEM0717,WH_EU_01,RECEIPT,3,04-07-2024
TXN00000282,ITEM0965,WH_EU_01,ISSUE,94,24-12-2024
TXN00000283,ITEM1172,WH_EU_01,RECEIPT,253,13-03-2024
TXN00000284,ITEM0208,WH_US_01,ADJUSTMENT,127,20-01-2026
TXN00000285,ITEM1083,WH_IN_01,ADJUSTMENT,493,20-11-2025
TXN00000286,ITEM0092,WH_IN_01,INVALID,287,24-12-2025
TXN00000287,ITEM0724,WH_IN_01,INVALID,85,14-07-2025
TXN00000288,ITEM0073,WH_EU_01,INVALID,-273,03-10-2025
TXN00000289,ITEM0010,,INVALID,-1,22-02-2024
TXN00000290,ITEM1146,WH_US_01,RECEIPT,44,29-06-2025
TXN00000291,ITEM1128,WH_US_01,ISSUE,-459,30-12-2024
TXN00000292,ITEM0761,,ADJUSTMENT,487,24-05-2025
TXN00000293,ITEM0553,WH_US_01,RECEIPT,-491,30-05-2024
TXN00000294,ITEM0413,WH_US_01,INVALID,461,10-04-2024
TXN00000295,ITEM1199,,ISSUE,-422,07-02-2024
TXN00000296,ITEM0419,WH_IN_01,ISSUE,44,21-08-2025
TXN00000297,ITEM0246,,ADJUSTMENT,-414,30-08-2024
TXN00000298,ITEM0531,WH_IN_01,ADJUSTMENT,-283,24-12-2025
TXN00000299,ITEM0302,WH_EU_01,ISSUE,152,16-11-2024
TXN00000300,ITEM0313,WH_EU_01,RECEIPT,-65,04-05-2024
TXN00000301,ITEM0601,WH_EU_01,ISSUE,-261,12-11-2025
TXN00000302,ITEM1118,WH_EU_01,ADJUSTMENT,-334,20-06-2024
TXN00000303,ITEM0613,,ADJUSTMENT,-391,07-11-2024
TXN00000304,ITEM0951,WH_IN_01,ADJUSTMENT,454,16-08-2024
TXN00000305,ITEM0914,WH_US_01,ISSUE,431,22-10-2025
TXN00000306,ITEM1063,WH_EU_01,ISSUE,-260,27-05-2025
TXN00000307,ITEM0285,WH_IN_01,RECEIPT,474,06-06-2025
TXN00000308,ITEM0713,WH_US_01,ISSUE,-400,14-06-2025
TXN00000309,ITEM0676,WH_EU_01,INVALID,54,07-01-2025
TXN00000310,ITEM0996,WH_US_01,INVALID,-182,07-05-2024
TXN00000311,ITEM0790,,ADJUSTMENT,-440,27-01-2025
TXN00000312,ITEM0020,,RECEIPT,-226,22-05-2024
TXN00000313,ITEM0444,WH_EU_01,INVALID,192,14-04-2025
TXN00000314,ITEM0508,WH_US_01,RECEIPT,50,25-03-2024
TXN00000315,ITEM0314,WH_IN_01,ISSUE,154,08-05-2024
TXN00000316,ITEM0146,WH_US_01,RECEIPT,402,21-08-2025
TXN00000317,ITEM0684,WH_US_01,ISSUE,287,17-02-2024
TXN00000318,ITEM0605,,RECEIPT,150,14-12-2024
TXN00000319,ITEM0202,WH_EU_01,RECEIPT,-81,26-08-2025
TXN00000320,ITEM0446,WH_EU_01,ADJUSTMENT,319,25-07-2025
TXN00000321,ITEM0706,,ADJUSTMENT,460,22-10-2025
TXN00000322,ITEM0179,WH_EU_01,ADJUSTMENT,333,13-04-2024
TXN00000323,ITEM0936,WH_EU_01,INVALID,-253,12-09-2024
TXN00000324,ITEM0705,WH_EU_01,INVALID,41,31-01-2024
TXN00000325,ITEM0655,,INVALID,-10,25-04-2025
TXN00000326,ITEM0160,,ISSUE,-190,22-12-2024
TXN00000327,ITEM0547,,INVALID,76,19-12-2025
TXN00000328,ITEM1135,,ISSUE,-296,25-02-2025
TXN00000329,ITEM0169,WH_US_01,INVALID,403,14-01-2025
TXN00000330,ITEM0708,,ADJUSTMENT,-245,13-06-2025
TXN00000331,ITEM0128,WH_EU_01,ADJUSTMENT,-296,02-11-2025
TXN00000332,ITEM0956,WH_US_01,INVALID,-223,07-07-2024
TXN00000333,ITEM1019,WH_US_01,ISSUE,-423,19-01-2025
TXN00000334,ITEM0520,WH_IN_01,INVALID,81,15-04-2025
TXN00000335,ITEM0310,,RECEIPT,81,30-10-2024
TXN00000336,ITEM0262,WH_IN_01,INVALID,149,17-08-2025
TXN00000337,ITEM0476,WH_US_01,INVALID,183,22-10-2025
TXN00000338,ITEM0760,WH_US_01,ADJUSTMENT,-49,15-05-2024
TXN00000339,ITEM0684,,RECEIPT,299,02-05-2024
TXN00000340,ITEM1158,,ADJUSTMENT,200,17-09-2024
TXN00000341,ITEM0252,WH_EU_01,RECEIPT,7,27-07-2024
TXN00000342,ITEM0631,WH_EU_01,RECEIPT,-401,27-09-2025
TXN00000343,ITEM0202,WH_EU_01,ADJUSTMENT,278,14-02-2025
TXN00000344,ITEM0508,WH_US_01,ADJUSTMENT,-6,04-10-2024
TXN00000345,ITEM0150,,ADJUSTMENT,335,08-01-2026
TXN00000346,ITEM0178,,ADJUSTMENT,-242,01-12-2024
TXN00000347,ITEM0916,WH_EU_01,ADJUSTMENT,244,10-04-2024
TXN00000348,ITEM0521,WH_IN_01,INVALID,274,12-06-2024
TXN00000349,ITEM0776,WH_IN_01,RECEIPT,261,23-05-2024
TXN00000350,ITEM0045,,ADJUSTMENT,66,23-05-2024
TXN00000351,ITEM0728,WH_EU_01,ISSUE,-455,19-04-2024
TXN00000352,ITEM1025,WH_EU_01,RECEIPT,-261,15-04-2025
TXN00000353,ITEM1173,WH_EU_01,RECEIPT,423,02-12-2025
TXN00000354,ITEM0026,WH_EU_01,INVALID,-45,16-03-2025
TXN00000355,ITEM0252,,INVALID,-268,30-01-2025
TXN00000356,ITEM0010,WH_EU_01,INVALID,-321,15-11-2025
TXN00000357,ITEM0776,WH_IN_01,ISSUE,130,23-09-2025
TXN00000358,ITEM0369,WH_EU_01,RECEIPT,465,21-03-2024
TXN00000359,ITEM0729,WH_US_01,ISSUE,328,14-05-2025
TXN00000360,ITEM0581,WH_US_01,RECEIPT,-27,05-08-2025
TXN00000361,ITEM0562,,RECEIPT,-291,11-01-2026
TXN00000362,ITEM0887,WH_EU_01,RECEIPT,-369,15-03-2024
TXN00000363,ITEM0658,WH_EU_01,RECEIPT,32,09-08-2025
TXN00000364,ITEM0700,WH_US_01,RECEIPT,195,26-01-2024
TXN00000365,ITEM0817,WH_EU_01,INVALID,208,19-11-2024
TXN00000366,ITEM0970,WH_IN_01,INVALID,152,25-05-2024
TXN00000367,ITEM1150,,ADJUSTMENT,-396,22-08-2024
TXN00000368,ITEM0923,WH_IN_01,ADJUSTMENT,450,03-01-2025
TXN00000369,ITEM0285,WH_EU_01,ISSUE,196,20-09-2025
TXN00000370,ITEM0943,WH_EU_01,INVALID,-490,29-01-2024
TXN00000371,ITEM0575,,ADJUSTMENT,-38,08-01-2026
TXN00000372,ITEM0186,,ISSUE,385,21-02-2024
TXN00000373,ITEM0904,,RECEIPT,-132,28-04-2024
TXN00000374,ITEM0929,,ISSUE,83,09-02-2024
TXN00000375,ITEM0476,WH_US_01,INVALID,-496,25-09-2024
TXN00000376,ITEM1104,WH_US_01,ISSUE,-483,07-08-2025
TXN00000377,ITEM0389,WH_IN_01,INVALID,-288,20-06-2025
TXN00000378,ITEM0767,WH_EU_01,ISSUE,-326,22-06-2024
TXN00000379,ITEM0683,,INVALID,-485,11-03-2025
TXN00000380,ITEM0282,WH_IN_01,RECEIPT,-356,03-03-2025
TXN00000381,ITEM0543,WH_EU_01,INVALID,368,06-12-2024
TXN00000382,ITEM0638,WH_US_01,INVALID,291,06-07-2024
TXN00000383,ITEM0228,,INVALID,134,09-05-2025
TXN00000384,ITEM0549,WH_EU_01,ADJUSTMENT,18,22-06-2024
