po_id,supplier_id,po_date,currency,po_status,total_po_amount
PO000229,S00492,08-10-2025,INR,CANCELLED,174176.34
PO000230,S00436,16-05-2025,INR,APPROVED,114458.32
PO000231,S00166,08-03-2024,EUR,CREATED,350243.71
PO000232,S00184,29-06-2025,,APPROVED,279369.99
PO000233,S00098,28-08-2025,GBP,CLOSED,83656.17
PO000234,S00020,23-09-2024,USD,CREATED,112474.8
PO000235,S00115,06-07-2025,USD,CANCELLED,-4654.83
PO000236,S00476,30-07-2025,,APPROVED,402254.93
PO000237,S00178,06-03-2025,INR,CLOSED,25075.76
PO000238,S00077,24-09-2024,,APPROVED,386055.08
PO000239,S00440,07-07-2025,,CLOSED,480082.17
PO000240,S00195,24-11-2024,GBP,CREATED,164963.34
PO000241,S00169,26-03-2025,INR,APPROVED,364837.77
PO000242,S00228,09-09-2025,GBP,CLOSED,82972.35
PO000243,S00293,28-09-2025,,CLOSED,107734.79
PO000244,S00307,11-03-2024,INR,CANCELLED,149945.73
PO000245,S00359,24-05-2025,EUR,APPROVED,84742.69
PO000246,S00001,03-07-2024,,CANCELLED,424632.27
PO000247,S00401,08-09-2025,,CREATED,86951.29
PO000248,S00166,15-09-2024,,APPROVED,318021.62
PO000249,S00054,10-05-2025,GBP,APPROVED,162240.06
PO000250,S00040,22-04-2024,INR,CLOSED,491101.73
PO000251,S00087,03-06-2025,USD,CLOSED,220548.12
PO000252,S00138,09-07-2025,INR,APPROVED,345053.92
PO000253,S00183,24-01-2024,EUR,CREATED,358808.86
PO000254,S00025,03-08-2024,GBP,CANCELLED,364955.17
PO000255,S00087,27-12-2024,GBP,CANCELLED,440294.18
PO000256,S00183,20-01-2025,,CANCELLED,46221.42
PO000257,S00251,15-12-2025,,APPROVED,77141.54
PO000258,S00038,29-10-2025,USD,CLOSED,5139.39
PO000259,S00136,07-06-2024,USD,CREATED,167613.14
PO000260,S00461,08-01-2026,GBP,APPROVED,364652.47
PO000261,S00286,30-05-2024,USD,CLOSED,294985.42
PO000262,S00320,09-06-2024,GBP,CREATED,212818.28
PO000263,S00341,13-07-2024,INR,CANCELLED,74337.41
PO000264,S00052,07-10-2025,EUR,APPROVED,487071.2
PO000265,S00213,21-12-2024,,CLOSED,328601.94
PO000266,S00156,10-12-2024,INR,CREATED,20065.9
PO000267,S00298,21-08-2024,,CANCELLED,72562.92
PO000268,S00188,07-04-2024,USD,CANCELLED,39252.32
PO000269,S00428,14-03-2024,,CANCELLED,95835.77
PO000270,S00014,27-04-2024,INR,APPROVED,317286.28
PO000271,S00042,22-10-2025,GBP,CREATED,150718.47
PO000272,S00207,16-07-2024,GBP,CANCELLED,446913.13
PO000273,S00138,11-08-2024,USD,CANCELLED,88365.02
PO000274,S00460,08-11-2025,GBP,CLOSED,89224.39
PO000275,S00023,20-11-2024,EUR,CANCELLED,229854.27
PO000276,S00118,14-12-2024,EUR,CREATED,71320.99
PO000277,S00363,08-10-2024,USD,CREATED,332411.29
PO000278,S00420,03-11-2025,,CANCELLED,485206.3
PO000279,S00307,08-08-2025,INR,CREATED,419602.57
PO000280,S00426,16-12-2025,,CANCELLED,482641.99
PO000281,S00358,02-02-2025,GBP,APPROVED,235512.45
PO000282,S00041,13-03-2024,GBP,CREATED,248561.24
PO000283,S00468,14-09-2025,,APPROVED,55742.35
PO000284,S00394,03-06-2025,GBP,APPROVED,474276.05
PO000285,S00087,04-08-2024,INR,APPROVED,58723.93
PO000286,S00221,15-11-2024,USD,CANCELLED,96969.24
PO000287,S00428,11-06-2024,INR,CLOSED,156473.49
PO000288,S00379,01-09-2024,USD,CREATED,190990.07
PO000289,S00207,14-05-2024,,CLOSED,427595.21
PO000290,S00272,09-01-2026,GBP,CREATED,392208.07
PO000291,S00326,01-05-2024,,CANCELLED,51822.02
PO000292,S00078,02-05-2025,INR,CREATED,462088.72
PO000293,S00294,22-01-2025,USD,CLOSED,433075.01
PO000294,S00457,28-07-2024,EUR,CANCELLED,128389
PO000295,S00342,04-12-2025,GBP,CANCELLED,13920.16
PO000296,S00145,17-12-2025,GBP,APPROVED,307213.47
PO000297,S00355,25-01-2025,GBP,CREATED,194875.34
PO000298,S00457,23-12-2025,EUR,APPROVED,19891.94
PO000299,S00249,20-10-2024,EUR,CLOSED,5217.61
PO000300,S00425,26-05-2024,EUR,CLOSED,136575.06
PO000301,S00257,20-12-2024,USD,APPROVED,62864.69
PO000302,S00387,25-12-2025,GBP,CLOSED,131057.09
PO000303,S00218,25-10-2025,,CREATED,89907.52
PO000304,S00110,17-07-2024,GBP,CANCELLED,378544.11
PO000305,S00451,19-11-2025,EUR,CREATED,255211.2
PO000306,S00083,01-06-2024,USD,CLOSED,353332.55
PO000307,S00210,23-05-2024,INR,CREATED,82737.36
PO000308,S00455,18-03-2025,INR,CREATED,120992.58
PO000309,S00238,29-12-2025,USD,CLOSED,350840.14
PO000310,S00144,22-01-2025,EUR,CANCELLED,250088.82
PO000311,S00332,27-05-2024,USD,CREATED,117178.74
PO000312,S00256,06-02-2025,,CANCELLED,84679.77
PO000313,S00452,20-12-2025,GBP,CLOSED,168845.75
PO000314,S00435,23-05-2024,EUR,CREATED,138960.04
PO000315,S00201,14-11-2024,USD,APPROVED,426179.77
PO000316,S00406,22-11-2025,INR,APPROVED,321926.85
PO000317,S00353,25-01-2025,INR,CLOSED,324051.6
PO000318,S00268,16-11-2024,USD,CREATED,234419.09
PO000319,S00069,30-01-2025,INR,CREATED,108003.87
PO000320,S00317,06-12-2025,EUR,CLOSED,209022.43
PO000321,S00196,26-07-2025,EUR,CANCELLED,122259.35
PO000322,S00244,09-10-2024,EUR,CANCELLED,290166.01
PO000323,S00004,21-09-2025,,CLOSED,278535.84
PO000324,S00310,10-10-2024,,CLOSED,145730.34
PO000325,S00056,22-04-2025,GBP,CREATED,164823.25
PO000326,S00145,07-02-2024,EUR,CLOSED,126879.19
PO000327,S00371,11-03-2024,EUR,APPROVED,70714.29
PO000328,S00398,23-09-2025,INR,CREATED,401742.06
PO000329,S00417,27-06-2025,,CANCELLED,328567.81
PO000330,S00355,08-09-2024,INR,CREATED,325977.29
PO000331,S00155,05-10-2024,EUR,CANCELLED,199322.44
PO000332,S00384,12-11-2025,USD,APPROVED,168299.36
PO000333,S00372,02-02-2025,INR,CANCELLED,452795.89
PO000334,S00350,25-07-2024,EUR,CLOSED,421936.72
PO000335,S00437,06-08-2024,,APPROVED,143360.95
PO000336,S00247,06-01-2025,INR,CLOSED,361219.25
PO000337,S00292,02-12-2024,INR,CLOSED,325489.5
PO000338,S00116,31-10-2024,EUR,APPROVED,370826.01
PO000339,S00161,07-09-2025,GBP,CLOSED,182699.63
PO000340,S00305,28-03-2025,EUR,CANCELLED,424863.01
PO000341,S00246,23-03-2025,USD,CREATED,233470.94
PO000342,S00101,15-11-2024,,CREATED,433086.37
PO000343,S00199,26-05-2024,,CLOSED,203619.16
PO000344,S00452,25-12-2024,INR,APPROVED,496135.67
PO000345,S00179,12-10-2024,GBP,CANCELLED,67328.2
PO000346,S00448,23-02-2024,INR,CREATED,241228.33
PO000347,S00330,24-11-2025,INR,CLOSED,315421.98
PO000348,S00003,14-07-2025,GBP,CLOSED,100738.1
PO000349,S00403,10-01-2026,INR,APPROVED,242236.43
PO000350,S00397,20-04-2025,USD,APPROVED,305312.27
PO000351,S00331,24-05-2025,GBP,CANCELLED,211657.85
PO000352,S00250,31-05-2025,GBP,CREATED,14051.29
PO000353,S00104,19-09-2024,EUR,CREATED,445463.23
PO000354,S00394,18-12-2025,,APPROVED,4047.64
PO000355,S00003,24-07-2025,INR,APPROVED,345230
PO000356,S00180,03-12-2024,EUR,APPROVED,46867.65
PO000357,S00263,15-07-2025,,CLOSED,79345.19
PO000358,S00428,03-11-2024,USD,CLOSED,473974
PO000359,S00238,15-02-2024,,CLOSED,214000.94
PO000360,S00358,17-09-2025,INR,CLOSED,498050.15
PO000361,S00256,30-03-2024,EUR,APPROVED,78266.17
PO000362,S00471,07-05-2025,GBP,CREATED,110351.23
PO000363,S00379,03-05-2024,INR,APPROVED,365708.69
PO000364,S00307,04-08-2025,,APPROVED,57196.8
PO000365,S00371,16-02-2025,USD,CANCELLED,437654.79
PO000366,S00133,06-04-2024,,CREATED,294931.65
PO000367,S00025,29-02-2024,USD,CREATED,19358.7
PO000368,S00060,15-10-2025,GBP,CANCELLED,187028.15
PO000369,S00286,29-08-2025,EUR,CANCELLED,349443.45
PO000370,S00107,16-03-2025,USD,CLOSED,207540.09
PO000371,S00052,03-03-2025,,CLOSED,309512.88
PO000372,S00365,20-09-2024,INR,CANCELLED,414479.62
PO000373,S00054,23-01-2025,,CREATED,137766.92
PO000374,S00408,29-06-2025,USD,CANCELLED,95316.56
PO000375,S00104,20-08-2024,EUR,APPROVED,175750.53
PO000376,S00213,24-09-2025,EUR,APPROVED,14899.88
PO000377,S00260,26-05-2024,INR,CANCELLED,161954.83
PO000378,S00002,18-07-2024,USD,CREATED,452974.42
PO000379,S00434,25-08-2024,,CANCELLED,70317.97
PO000380,S00047,18-08-2025,,CREATED,360399.63
PO000381,S00052,18-05-2025,EUR,APPROVED,225659.37
PO000382,S00155,23-01-2026,EUR,CANCELLED,20290.5
PO000383,S00423,23-09-2024,INR,CREATED,425385.59
PO000384,S00188,05-10-2024,EUR,CANCELLED,367962.8
PO000385,S00049,12-02-2024,USD,CREATED,425259.36
PO000386,S00346,23-02-2024,INR,CLOSED,175551.34
PO000387,S00229,21-02-2025,,CLOSED,438630.15
PO000388,S00048,10-11-2024,EUR,CLOSED,87349.06
PO000389,S00209,09-05-2024,GBP,CANCELLED,132275.71
PO000390,S00201,07-02-2025,GBP,CANCELLED,322667.47
PO000391,S00415,17-06-2024,INR,CREATED,61918.35
PO000392,S00378,18-06-2024,USD,APPROVED,47375.12
PO000393,S00473,05-09-2024,,CANCELLED,400143.72
PO000394,S00354,02-06-2025,GBP,APPROVED,303718.19
PO000395,S00405,29-12-2024,EUR,CREATED,430600.77
PO000396,S00457,11-02-2024,INR,CANCELLED,459800.98
PO000397,S00058,18-04-2025,GBP,CANCELLED,18216.02
PO000398,S00136,01-03-2025,EUR,CREATED,350806.93
PO000399,S00354,14-12-2025,,APPROVED,488837.26
PO000400,S00349,26-03-2024,EUR,CREATED,213588.19
PO000401,S00379,18-12-2025,INR,CANCELLED,169603.49
PO000402,S00353,25-03-2024,GBP,APPROVED,418711.68
PO000403,S00291,16-03-2024,,CREATED,880.66
PO000404,S00485,09-09-2024,INR,CANCELLED,425194.93
PO000405,S00452,18-06-2024,INR,CREATED,374472.15
PO000406,S00168,17-06-2024,INR,CLOSED,484923.25
PO000407,S00026,19-12-2024,,APPROVED,273000.26
PO000408,S00197,15-02-2024,GBP,APPROVED,34809.45
PO000409,S00232,14-11-2024,,CANCELLED,39450.03
PO000410,S00261,21-10-2025,GBP,CLOSED,54946.96
PO000411,S00260,17-03-2025,USD,CREATED,198737.03
PO000412,S00019,16-10-2024,,CREATED,412083.92
PO000413,S00412,11-11-2024,,CLOSED,444506
PO000414,S00293,06-02-2024,INR,CANCELLED,474929.34
PO000415,S00190,05-05-2025,USD,APPROVED,421380.31
PO000416,S00173,18-12-2025,,CANCELLED,356912.32
PO000417,S00190,14-05-2025,GBP,CREATED,44205.7
PO000418,S00344,12-05-2025,INR,CREATED,167385.34
PO000419,S00431,10-12-2025,EUR,CLOSED,349558.51
PO000420,S00024,31-01-2025,INR,CANCELLED,65926.84
PO000421,S00374,19-12-2025,GBP,CREATED,123416.1
PO000422,S00102,22-04-2024,INR,CREATED,464759.21
PO000423,S00205,12-01-2025,INR,CANCELLED,411399.84
PO000424,S00099,23-06-2024,EUR,CREATED,377360.42
PO000425,S00024,27-10-2025,,CREATED,384933.31
PO000426,S00235,19-03-2025,GBP,APPROVED,481746.65
PO000427,S00003,31-08-2024,,CREATED,274379.3
PO000428,S00226,21-06-2024,,CANCELLED,461807.29
PO000429,S00406,17-03-2025,INR,APPROVED,363899.8
PO000430,S00067,20-04-2025,USD,CANCELLED,327048.51
PO000431,S00316,17-09-2024,EUR,CANCELLED,206425.7
PO000432,S00317,28-11-2024,INR,CLOSED,195924.35
PO000433,S00179,11-04-2025,EUR,CANCELLED,401422.4
PO000434,S00072,01-11-2025,GBP,CLOSED,420752.59
PO000435,S00286,24-01-2024,EUR,APPROVED,96448.99
PO000436,S00326,05-12-2025,EUR,CLOSED,460201.84
PO000437,S00069,01-05-2025,INR,CLOSED,353728.13
PO000438,S00396,07-12-2025,EUR,CANCELLED,289317.17
PO000439,S00489,18-08-2025,GBP,CLOSED,438126
PO000440,S00221,11-07-2025,USD,CREATED,7762.43
PO000441,S00076,29-06-2024,USD,CREATED,95950.72
PO000442,S00391,04-11-2024,INR,CLOSED,340112.12
PO000443,S00076,17-09-2024,USD,CLOSED,98020.46
PO000444,S00283,22-02-2024,USD,CLOSED,406083.24
PO000445,S00053,06-01-2026,,APPROVED,369918.43
PO000446,S00293,19-08-2025,GBP,APPROVED,253015.76
PO000447,S00414,05-01-2026,EUR,CREATED,462874.83
PO000448,S00202,04-10-2025,GBP,CLOSED,482745.77
PO000449,S00028,13-11-2024,USD,CLOSED,97559.05
PO000450,S00451,07-01-2025,GBP,APPROVED,455300.62
PO000451,S00367,23-02-2024,EUR,APPROVED,386954.11
PO000452,INVALID_SUP,19-10-2024,INR,CLOSED,221651.54
PO000453,S00356,30-10-2025,USD,APPROVED,481050
PO000454,S00383,09-01-2026,,CREATED,185485.1
PO000455,S00224,14-04-2024,EUR,CLOSED,60683.6
PO000456,S00305,20-08-2025,EUR,CREATED,161934.21
PO000457,S00370,13-07-2025,INR,CREATED,72620.21
PO000458,S00169,03-04-2024,,CREATED,385698.78
PO000459,S00327,20-06-2024,,CLOSED,242728.23
PO000460,S00299,13-04-2024,,CLOSED,31804.8
PO000461,S00369,15-04-2025,EUR,APPROVED,478278.8
PO000462,S00272,22-10-2024,USD,APPROVED,205045.28
PO000463,S00280,08-09-2025,GBP,CREATED,171448.49
PO000464,S00459,15-05-2024,INR,CLOSED,162188.6
