invoice_id,supplier_id,po_id,invoice_date,invoice_amount,invoice_status
INV000086,S00039,PO001922,14-12-2024,204946.04,VALIDATED
INV000087,S00123,PO000481,14-08-2025,263917.1,VALIDATED
INV000088,S00350,PO001435,02-04-2024,537186.73,VALIDATED
INV000089,S00261,PO002452,14-03-2025,284374.51,
INV000090,S00203,PO000211,21-02-2025,185027.92,VALIDATED
INV000091,S00245,PO001961,24-07-2024,552618.06,
INV000092,S00241,PO000738,14-05-2024,461186.61,VALIDATED
INV000093,S00245,PO000354,12-11-2025,295405.8,RECEIVED
INV000094,S00357,PO000471,07-03-2025,193998.43,VALIDATED
INV000095,S00119,PO000102,16-06-2025,4436.54,VALIDATED
INV000096,S00176,PO001568,06-06-2025,345230.3,REJECTED
INV000097,S00143,PO001823,11-10-2025,458096.2,RECEIVED
INV000098,S00099,PO000967,27-12-2024,41969.15,RECEIVED
INV000099,S00186,PO000375,01-07-2025,356908.15,
INV000100,S00119,PO002500,16-03-2025,174407.9,
INV000101,S00391,PO002836,11-05-2024,180681.46,VALIDATED
INV000102,S00216,PO002688,10-07-2024,259414.59,RECEIVED
INV000103,S00192,PO001240,25-12-2025,529991.93,RECEIVED
INV000104,S00309,PO002519,14-12-2024,17612.33,VALIDATED
INV000105,S00335,PO002676,17-04-2024,566236.85,
INV000106,S00062,PO001011,18-10-2025,45644.52,REJECTED
INV000107,S00334,PO001404,09-10-2025,117591.25,REJECTED
INV000108,S00226,PO002033,26-12-2024,52775.01,REJECTED
INV000109,S00160,PO001716,27-04-2024,529000.66,VALIDATED
INV000110,S00172,PO000342,31-05-2024,448133.31,PAID
INV000111,S00170,PO000692,08-05-2025,110250.65,VALIDATED
INV000112,S00110,PO000571,28-12-2025,528811.55,VALIDATED
INV000113,S00432,PO001265,16-11-2025,306908.74,PAID
INV000114,S00378,PO000766,24-03-2024,494321.54,
INV000115,S00233,PO002509,30-05-2025,340875.66,PAID
INV000116,S00311,PO001665,03-06-2024,213171.7,REJECTED
INV000117,S00238,PO001292,21-04-2024,329868.64,VALIDATED
INV000118,S00181,PO000723,20-02-2024,71571.03,
INV000119,S00260,PO000001,15-07-2024,587570.75,REJECTED
INV000120,S00154,PO000027,30-05-2025,572759.95,PAID
INV000121,S00046,PO000589,02-04-2024,117767.31,RECEIVED
INV000122,S00169,PO001151,24-11-2025,24545.41,PAID
INV000123,S00136,PO001886,15-12-2024,301821.92,RECEIVED
INV000124,S00459,PO001854,16-11-2024,533984.6,RECEIVED
INV000125,S00055,PO001638,25-08-2025,118095.47,REJECTED
INV000126,S00331,PO000086,04-11-2025,575179.48,PAID
INV000127,S00298,PO000472,04-08-2025,151615.28,RECEIVED
INV000128,S00352,PO001419,15-06-2024,75221.62,
INV000129,S00328,PO001626,09-07-2025,120604.01,REJECTED
INV000130,S00485,PO001219,29-11-2024,100279.04,VALIDATED
INV000131,S00380,PO000304,17-08-2024,112498.43,REJECTED
INV000132,S00491,PO001072,13-04-2024,410527.29,PAID
INV000133,S00105,PO001588,14-07-2024,291868.83,
INV000134,S00338,PO001971,27-08-2024,366721.3,REJECTED
INV000135,S00251,PO002700,22-09-2025,183466.63,REJECTED
INV000136,S00329,PO000762,04-06-2025,231840.45,
INV000137,S00213,PO002906,13-05-2025,116689.82,RECEIVED
INV000138,S00360,PO000953,18-09-2025,123674.2,VALIDATED
INV000139,S00255,PO002520,07-02-2025,464928.35,
INV000140,S00492,PO000553,04-03-2024,487070.16,REJECTED
INV000141,S00001,PO000701,09-05-2025,384588.88,REJECTED
INV000142,S00348,PO001983,17-05-2025,72375.47,
INV000143,S00201,PO000289,28-08-2025,177966.21,
INV000144,S00148,PO002553,24-08-2025,56413.62,
INV000145,S00184,PO000490,01-10-2025,184917.11,REJECTED
INV000146,S00185,PO001731,01-08-2024,570528.6,REJECTED
INV000147,S00385,PO000171,11-12-2025,477730.65,
INV000148,S00148,PO002389,11-08-2025,569128.97,VALIDATED
INV000149,S00207,PO000120,02-11-2024,491476.57,
INV000150,S00457,PO000754,18-03-2025,504406.99,
INV000151,S00239,PO002320,09-10-2025,188031.25,REJECTED
INV000152,S00037,PO001257,06-11-2024,467206.14,RECEIVED
INV000153,S00295,PO001558,08-12-2024,229521.72,PAID
INV000154,S00320,PO000696,14-06-2025,372389.02,VALIDATED
INV000155,S00082,PO002998,31-10-2024,202408.44,REJECTED
INV000156,S00276,PO002454,28-09-2024,27583.8,
INV000157,S00264,PO001373,10-01-2025,478113.35,RECEIVED
INV000158,S00221,PO002329,26-12-2024,8959.56,RECEIVED
INV000159,S00423,PO002882,02-12-2024,527070.89,VALIDATED
INV000160,S00150,PO001977,06-02-2024,442026.13,RECEIVED
INV000161,S00041,PO000754,21-09-2025,29559.71,REJECTED
INV000162,S00110,PO000101,10-02-2025,498851.12,VALIDATED
INV000163,S00469,PO000960,19-05-2025,523960.52,PAID
INV000164,S00333,PO002349,24-10-2024,499438.86,RECEIVED
INV000165,S00362,PO002815,24-02-2024,83577.34,VALIDATED
INV000166,S00494,PO000145,26-10-2025,278818.35,VALIDATED
INV000167,S00102,PO000188,24-12-2024,473638.89,VALIDATED
INV000168,S00194,PO002267,21-06-2025,90058.16,VALIDATED
INV000169,S00301,PO002216,19-08-2024,370372.4,PAID
INV000170,S00035,PO000433,02-08-2024,419243.96,VALIDATED
INV000171,S00327,PO002540,10-11-2025,349538.06,REJECTED
INV000172,S00477,PO000998,29-04-2025,324644.86,REJECTED
INV000173,S00314,PO000645,27-11-2025,263402.63,REJECTED
INV000174,S00203,PO001793,28-07-2025,565311.82,VALIDATED
INV000175,S00128,PO001604,19-03-2024,4613.46,
INV000176,S00372,PO001201,06-01-2026,109406.05,
INV000177,S00401,PO001570,18-10-2024,485884.41,REJECTED
INV000178,S00172,PO000427,25-05-2024,182754.03,PAID
INV000179,S00414,PO002085,18-01-2025,226081.62,REJECTED
INV000180,S00142,PO000811,24-06-2025,14182.96,REJECTED
INV000181,S00081,PO000096,20-02-2025,229274.46,RECEIVED
INV000182,S00162,PO002769,08-07-2024,405747.55,
INV000183,S00332,PO001224,25-10-2025,485692.96,
INV000184,S00327,PO000506,22-05-2024,352564.38,REJECTED
INV000185,S00074,PO000207,09-12-2024,103905.92,
INV000186,S00269,PO000325,27-09-2025,37770.76,RECEIVED
INV000187,S00395,PO000020,07-04-2025,310631.86,VALIDATED
INV000188,S00479,PO002650,27-02-2025,131070.59,RECEIVED
INV000189,S00152,PO000345,06-01-2025,347521.49,
INV000190,S00060,PO000310,29-06-2024,420450.29,REJECTED
INV000191,S00308,PO001681,11-12-2025,149510.17,VALIDATED
INV000192,S00011,PO002563,16-03-2024,202564.55,RECEIVED
INV000193,S00237,PO001146,16-08-2025,342875.73,PAID
INV000194,S00028,PO001157,19-01-2026,169723.29,VALIDATED
INV000195,S00230,PO000397,03-12-2025,495469.03,
INV000196,S00087,PO002337,14-02-2024,335069.56,RECEIVED
INV000197,S00074,PO002893,01-04-2025,312050.01,PAID
INV000198,S00397,PO000457,25-01-2024,477711.77,REJECTED
INV000199,S00045,PO002762,03-04-2024,226658.99,VALIDATED
INV000200,S00357,PO001674,28-05-2025,485346.3,PAID
INV000201,S00432,PO000239,23-08-2024,311775.24,
INV000202,S00399,PO001354,20-04-2024,589048.85,RECEIVED
INV000203,S00490,PO002682,23-02-2025,391016.2,VALIDATED
INV000204,S00069,PO000986,16-12-2024,303561.73,VALIDATED
INV000205,S00256,PO000058,09-04-2025,587358.5,PAID
INV000206,S00253,PO002917,23-12-2025,398838.59,RECEIVED
INV000207,S00020,PO000995,17-04-2025,285498.83,VALIDATED
INV000208,S00091,PO001698,28-06-2025,511815.85,PAID
INV000209,S00313,PO001097,08-12-2024,73304.58,PAID
INV000210,S00067,PO001476,14-04-2024,558669.52,
INV000211,S00109,PO002157,03-11-2024,209953.63,REJECTED
INV000212,S00122,PO001290,12-05-2024,295841.13,RECEIVED
INV000213,S00416,PO000486,27-08-2025,246820.53,PAID
INV000214,S00372,PO001777,08-09-2024,246325.28,
INV000215,S00144,PO001962,31-03-2024,63833.74,VALIDATED
INV000216,S00089,PO002805,05-01-2026,546392.13,RECEIVED
INV000217,S00412,PO000412,06-10-2025,465630.06,VALIDATED
INV000218,S00433,PO002474,27-08-2024,389329.88,PAID
INV000219,S00272,PO002762,26-08-2025,517234.32,RECEIVED
INV000220,S00436,PO000404,31-05-2024,330548.16,
INV000221,S00042,PO000495,19-03-2024,495984.43,RECEIVED
INV000222,S00049,PO001169,27-02-2025,230388.98,VALIDATED
INV000223,S00099,PO001519,07-02-2025,149989.62,PAID
INV000224,S00331,PO002426,18-12-2024,583000.28,
INV000225,S00085,PO002090,17-12-2025,355310.12,RECEIVED
INV000226,S00408,PO001109,01-10-2024,577106.71,
INV000227,S00059,PO000576,06-11-2025,415949.91,PAID
INV000228,S00224,PO000934,10-09-2024,487273.85,REJECTED
INV000229,S00259,PO001567,26-03-2024,237127.24,VALIDATED
INV000230,S00236,PO000390,08-09-2025,238225.86,
INV000231,S00094,PO001898,18-09-2024,317205.9,
INV000232,S00290,PO001125,04-06-2024,522493.09,
INV000233,S00401,PO002812,08-05-2024,474214.31,RECEIVED
INV000234,S00285,PO000315,22-08-2024,512258.94,VALIDATED
INV000235,S00439,PO002179,29-08-2024,137728.64,REJECTED
INV000236,S00349,PO001818,27-10-2025,448302.98,PAID
INV000237,S00046,PO000052,03-10-2024,389041.1,PAID
INV000238,S00248,PO000953,12-02-2025,594824.7,
INV000239,S00016,PO000757,21-06-2024,598716.61,VALIDATED
INV000240,S00489,PO000387,04-07-2024,129342.63,RECEIVED
INV000241,S00363,PO001221,18-06-2025,503150.67,VALIDATED
INV000242,S00163,PO002577,26-07-2025,531575.8,RECEIVED
INV000243,S00432,PO001233,06-01-2025,442779.2,RECEIVED
INV000244,S00144,PO001211,18-08-2024,185480.37,
INV000245,S00243,PO002182,17-08-2024,376070.28,PAID
INV000246,S00077,PO001343,04-06-2024,337573.2,VALIDATED
INV000247,S00157,PO002375,11-10-2024,559230.57,RECEIVED
INV000248,S00396,PO000088,15-09-2025,557872.52,
INV000249,S00236,PO001720,15-04-2024,315572.53,
INV000250,S00118,PO001011,01-10-2024,166055.05,RECEIVED
INV000251,S00032,PO001059,18-02-2025,62395.53,PAID
INV000252,S00046,PO002731,30-01-2025,51989.63,RECEIVED
INV000253,S00111,PO000108,04-01-2025,265976.33,REJECTED
INV000254,S00446,PO001599,13-07-2025,42321.06,RECEIVED
INV000255,S00202,PO002879,25-09-2024,557881.69,REJECTED
INV000256,S00357,PO002963,25-01-2025,241162.28,PAID
INV000257,S00444,PO001695,30-03-2025,186484.51,
INV000258,S00352,PO000555,18-09-2024,477548.01,RECEIVED
INV000259,S00483,PO002455,17-08-2024,313324.18,VALIDATED
INV000260,S00277,PO001268,06-06-2024,461023.93,RECEIVED
INV000261,S00268,PO000433,12-02-2024,320732.06,
INV000262,S00205,PO002476,14-12-2025,83812.15,PAID
INV000263,S00133,PO001049,06-06-2024,33451.52,PAID
INV000264,S00230,PO000583,20-09-2024,510384.43,PAID
INV000265,S00261,PO001890,19-03-2025,102677.78,VALIDATED
INV000266,S00406,PO002338,25-10-2025,245954.78,VALIDATED
INV000267,S00339,PO001654,01-04-2025,91630.43,
INV000268,S00039,PO001672,07-05-2025,4565.37,PAID
INV000269,S00305,PO002774,02-01-2026,552849.42,RECEIVED
INV000270,S00250,PO002871,30-10-2025,94542.26,VALIDATED
INV000271,S00035,PO002557,22-11-2024,17146.5,REJECTED
INV000272,S00029,PO002863,21-06-2025,481119.14,REJECTED
INV000273,S00428,PO002159,01-02-2025,553003.31,VALIDATED
INV000274,S00425,PO001794,08-10-2025,80504.81,
INV000275,S00413,PO001487,09-03-2024,472009.78,
INV000276,S00112,PO001417,25-12-2024,308158.39,PAID
INV000277,S00379,PO002948,12-01-2026,553598.44,RECEIVED
INV000278,S00420,PO001249,29-08-2024,288853.9,PAID
INV000279,S00362,PO001871,06-05-2025,53012.02,VALIDATED
INV000280,S00432,PO001707,23-09-2025,190577.9,PAID
INV000281,S00200,PO002839,28-03-2025,166957.27,REJECTED
INV000282,S00165,PO001619,23-11-2024,233853.7,REJECTED
INV000283,S00049,PO001373,15-12-2025,275031.43,RECEIVED
INV000284,S00043,PO000487,02-04-2025,84208.94,REJECTED
INV000285,S00010,PO000429,04-01-2026,313385.58,RECEIVED
INV000286,S00361,PO001383,24-12-2025,375602.52,
INV000287,S00100,PO001505,31-05-2025,341807.02,REJECTED
INV000288,S00330,PO002416,18-04-2024,484989.82,REJECTED
INV000289,S00095,PO001481,01-09-2024,432862.66,PAID
INV000290,S00072,PO001414,09-10-2025,276256.33,RECEIVED
INV000291,S00182,PO000116,27-02-2025,426852.44,VALIDATED
INV000292,S00098,PO001423,30-01-2024,523052.03,
INV000293,S00415,PO002573,26-08-2024,307958.8,PAID
INV000294,S00280,PO000194,30-12-2025,504286.53,REJECTED
INV000295,S00034,PO002065,21-01-2025,258668.73,
INV000296,S00386,PO000784,05-02-2024,451103.5,PAID
INV000297,S00106,PO001148,30-07-2025,572242.9,VALIDATED
INV000298,S00309,PO002470,05-04-2024,524531.66,REJECTED
INV000299,S00282,PO001531,07-07-2025,130137.03,RECEIVED
INV000300,S00360,PO002826,06-01-2026,2007.46,VALIDATED
INV000301,S00115,PO002388,12-02-2024,326479.83,VALIDATED
INV000302,S00005,PO002315,03-12-2025,8214.29,RECEIVED
INV000303,S00025,PO001013,08-06-2025,293992.83,REJECTED
INV000304,S00180,PO002270,15-01-2026,185566.25,
INV000305,S00345,PO000066,05-09-2025,63621.45,PAID
INV000306,S00022,PO001390,08-06-2024,259590.93,RECEIVED
INV000307,S00077,PO001442,13-02-2025,270062.51,REJECTED
INV000308,S00020,PO002755,11-04-2024,443600.42,
INV000309,S00024,PO002502,02-03-2024,194943.32,RECEIVED
INV000310,S00075,PO002795,17-10-2024,550248,
INV000311,S00294,PO000029,21-01-2026,162740.49,VALIDATED
INV000312,S00206,PO002477,14-07-2024,515245.92,
INV000313,S00397,PO002357,05-08-2025,546236.42,
INV000314,S00398,PO000791,10-02-2024,461017.44,REJECTED
INV000315,S00458,PO001093,13-04-2024,318378.53,
INV000316,S00098,PO001559,27-06-2025,79849.06,
INV000317,S00472,PO001699,12-10-2025,47714.73,VALIDATED
INV000318,S00203,PO001824,19-11-2024,403061.32,REJECTED
INV000319,S00460,PO000273,27-07-2024,273249.81,REJECTED
INV000320,S00166,PO000759,20-11-2024,358635.85,
INV000321,S00368,PO001226,29-04-2024,560021.53,VALIDATED
INV000322,S00359,PO001576,09-04-2024,373669.9,PAID
INV000323,S00444,PO001115,19-10-2025,424389.55,
INV000324,S00242,PO002212,15-07-2024,326515.75,RECEIVED
INV000325,S00350,PO002608,24-03-2024,158869.18,VALIDATED
INV000326,S00135,PO001344,02-03-2025,499451.79,REJECTED
INV000327,S00392,PO001935,29-01-2025,21268.15,RECEIVED
INV000328,S00412,PO002185,22-03-2024,482783.2,REJECTED
INV000329,S00176,PO001385,19-08-2024,24564.62,REJECTED
INV000330,S00085,PO001088,03-08-2024,177175.33,
INV000331,S00042,PO002227,18-09-2024,445679.79,
INV000332,S00278,PO002701,06-05-2024,492694.02,REJECTED
INV000333,S00231,PO002116,29-10-2024,576559.97,PAID
INV000334,S00449,PO000103,26-07-2025,60853.4,
INV000335,S00058,PO002364,05-08-2024,120540.9,REJECTED
INV000336,S00032,PO001796,06-03-2024,552575.33,RECEIVED
INV000337,S00156,PO000690,20-11-2025,13170.72,VALIDATED
INV000338,S00145,PO002554,12-02-2024,489333.68,
INV000339,S00446,PO001269,10-09-2024,127076.6,VALIDATED
INV000340,S00285,PO002719,02-09-2024,458560.15,RECEIVED
INV000341,S00486,PO001273,25-02-2024,9990.39,REJECTED
INV000342,S00092,PO001278,20-05-2025,284853.43,REJECTED
INV000343,S00358,PO002981,24-07-2024,117611.67,PAID
INV000344,S00437,PO001803,20-10-2024,556193.3,VALIDATED
INV000345,S00112,PO001682,13-09-2025,397919.01,REJECTED
INV000346,S00475,PO000931,17-05-2025,139561.21,
INV000347,S00345,PO002337,27-12-2025,6905.75,PAID
INV000348,S00167,PO001216,04-12-2024,185931.75,
INV000349,S00149,PO001020,14-04-2024,578518.28,VALIDATED
INV000350,S00434,PO000258,10-04-2025,585921.24,RECEIVED
INV000351,S00450,PO002433,12-03-2024,193127.6,
INV000352,S00202,PO002303,15-10-2024,251155.42,REJECTED
INV000353,S00241,PO002941,13-12-2025,399178.37,RECEIVED
INV000354,S00407,PO001935,31-05-2024,339765.1,RECEIVED
INV000355,S00299,PO002542,21-07-2024,45592.55,
INV000356,S00318,PO002626,03-09-2025,556582.05,
INV000357,S00439,PO001143,11-02-2025,238077.11,REJECTED
INV000358,S00035,PO001907,15-01-2025,11513.82,
INV000359,S00194,PO000484,13-03-2025,55603.78,RECEIVED
INV000360,S00112,PO002928,03-01-2025,503977.19,REJECTED
INV000361,S00380,PO000668,05-03-2025,191108.11,REJECTED
INV000362,S00070,PO000283,28-09-2025,34051.57,
INV000363,S00018,PO000584,10-03-2024,316003.87,PAID
INV000364,S00237,PO002419,21-11-2025,584365.11,PAID
INV000365,S00195,PO000096,25-02-2024,14382.36,RECEIVED
INV000366,S00398,PO001052,31-05-2025,178689.76,RECEIVED
INV000367,S00180,PO001747,06-03-2024,510867.76,REJECTED
INV000368,S00355,PO000976,21-01-2026,24757.83,PAID
INV000369,S00379,PO001839,20-07-2025,537586.89,REJECTED
INV000370,S00194,PO001777,30-07-2024,92854.03,VALIDATED
INV000371,S00012,PO000671,07-05-2024,68168.02,PAID
INV000372,S00282,PO002328,22-09-2025,107324,
INV000373,S00110,PO002312,21-12-2025,420317.1,PAID
INV000374,S00101,PO001883,30-10-2024,17542.83,VALIDATED
INV000375,S00335,PO001959,22-06-2025,425317.72,RECEIVED
INV000376,S00489,PO002725,08-09-2025,273836.98,RECEIVED
INV000377,S00350,PO000887,18-09-2024,91594.33,PAID
INV000378,S00271,PO002490,04-08-2025,115978.83,VALIDATED
INV000379,S00119,PO002655,20-06-2025,279305.11,REJECTED
INV000380,S00476,PO001498,23-01-2026,252266.31,REJECTED
INV000381,S00319,PO001110,13-08-2025,561311.84,REJECTED
INV000382,S00450,PO002234,07-04-2025,195111.85,VALIDATED
INV000383,S00145,PO000479,11-03-2025,580565.87,PAID
INV000384,S00264,PO001159,11-09-2025,93725.59,
INV000385,S00315,PO002082,10-10-2024,583529.98,RECEIVED
INV000386,S00461,PO001994,07-11-2024,264784.57,REJECTED
INV000387,S00451,PO002596,04-05-2025,561190.43,REJECTED
INV000388,S00413,PO001412,26-08-2025,317793.3,REJECTED
INV000389,S00287,PO001523,12-08-2024,236686.42,PAID
INV000390,S00191,PO000360,22-10-2025,465437.37,
INV000391,S00093,PO001135,03-04-2025,82527.44,
INV000392,S00126,PO001087,15-03-2025,231551.44,VALIDATED
INV000393,S00440,PO002673,25-06-2024,370153.39,
INV000394,S00494,PO001488,16-10-2025,54720.62,PAID
INV000395,S00075,PO000752,06-11-2025,400215.46,REJECTED
INV000396,S00460,PO000852,01-09-2024,195742.49,RECEIVED
INV000397,S00287,PO001913,21-05-2025,288325.79,REJECTED
INV000398,S00126,PO001064,21-07-2024,596320.03,RECEIVED
INV000399,S00144,PO001166,30-04-2025,335873.74,REJECTED
INV000400,S00347,PO001988,06-12-2025,264791.57,REJECTED
INV000401,S00488,PO001670,17-04-2025,466533.44,
INV000402,S00233,PO002700,19-02-2025,432636.05,RECEIVED
INV000403,S00100,PO000276,05-09-2025,314324.4,REJECTED
INV000404,S00443,PO000734,22-11-2024,298383.43,
INV000405,S00492,PO001713,10-06-2024,581179.7,REJECTED
INV000406,S00348,PO002210,01-03-2025,303309.8,
INV000407,S00349,PO001565,14-02-2024,262856.67,PAID
INV000408,S00380,PO000716,24-11-2025,570982.14,PAID
INV000409,S00358,PO002880,27-08-2024,18246.24,PAID
INV000410,S00246,PO002192,04-08-2024,580742.95,REJECTED
INV000411,S00091,PO000591,22-02-2024,493755.41,REJECTED
INV000412,S00109,PO001073,30-11-2025,462977.49,PAID
INV000413,S00048,PO002177,26-07-2024,432738.29,PAID
INV000414,S00402,PO000465,15-07-2024,207683.14,RECEIVED
INV000415,S00069,PO000261,20-12-2025,175844.09,RECEIVED
INV000416,S00353,PO000957,10-03-2024,427375.68,VALIDATED
INV000417,S00328,PO002523,23-04-2025,301080.56,REJECTED
INV000418,S00326,PO000193,28-03-2025,318987.96,REJECTED
INV000419,S00345,PO002085,16-07-2025,256325.36,RECEIVED
INV000420,S00478,PO002618,04-06-2025,152078.81,REJECTED
INV000421,S00420,PO000218,20-01-2026,470000.62,RECEIVED
INV000422,S00259,PO000058,03-04-2025,479918.35,PAID
INV000423,S00296,PO000971,24-11-2024,368449.56,REJECTED
INV000424,S00019,PO000439,26-09-2024,597447.43,PAID
INV000425,S00193,PO002835,24-03-2024,520237.51,VALIDATED
INV000426,S00202,PO001263,12-02-2024,46708.09,VALIDATED
INV000427,S00137,PO001581,15-04-2025,574082.99,PAID
INV000428,S00175,PO000632,07-06-2024,412967.66,
INV000429,S00188,PO002943,08-10-2024,291790.82,REJECTED
INV000430,S00413,PO000802,21-09-2025,551750.91,RECEIVED
INV000431,S00198,PO002225,19-03-2025,143090.4,RECEIVED
INV000432,S00488,PO000737,22-06-2025,95465.6,REJECTED
INV000433,S00373,PO000510,20-03-2025,49525.15,RECEIVED
INV000434,S00262,PO000206,07-04-2024,35918.37,RECEIVED
INV000435,S00389,PO001139,11-09-2024,360455.87,RECEIVED
INV000436,S00017,PO002949,12-10-2025,458871.21,
INV000437,S00133,PO001814,24-10-2024,584255.54,PAID
INV000438,S00424,PO001364,28-07-2025,215945.61,REJECTED
INV000439,S00129,PO001189,16-04-2025,411989.18,VALIDATED
INV000440,S00078,PO002296,30-06-2024,108283.07,
INV000441,S00035,PO000772,23-05-2025,76436.48,RECEIVED
INV000442,S00287,PO002600,07-02-2024,144626.99,REJECTED
INV000443,S00303,PO002976,14-08-2024,595457.33,
INV000444,S00270,PO001020,23-12-2025,214996.54,
INV000445,S00335,PO000041,16-06-2024,314623.24,REJECTED
INV000446,S00313,PO002114,07-03-2025,487790.43,REJECTED
INV000447,S00107,PO000567,26-01-2025,346577.34,REJECTED
INV000448,S00463,PO001293,10-02-2025,306285.03,PAID
INV000449,S00223,PO000581,23-11-2025,284511.64,VALIDATED
